"",BBK01.OECO02G,BBK01.OECO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:33,
2002-01,0.563,
2002-04,0.362,
2002-07,0.239,
2002-10,0.367,
2003-01,0.336,
2003-04,0.360,
2003-07,0.645,
2003-10,0.366,
2004-01,0.412,
2004-04,0.391,
2004-07,0.675,
2004-10,0.431,
2005-01,0.976,
2005-04,1.031,
2005-07,0.829,
2005-10,0.714,
2006-01,0.890,
2006-04,0.867,
2006-07,0.790,
2006-10,0.855,
2007-01,1.403,
2007-04,0.859,
2007-07,0.834,
2007-10,1.014,
2008-01,1.060,
2008-04,1.190,
2008-07,0.734,
2008-10,1.266,
2009-01,1.356,
2009-04,1.327,
2009-07,1.614,
2009-10,1.156,
2010-01,1.305,
2010-04,0.830,
2010-07,0.646,
2010-10,0.834,
2011-01,0.977,
2011-04,0.852,
2011-07,0.919,
2011-10,0.779,
2012-01,1.699,
2012-04,0.741,
2012-07,0.745,
2012-10,0.715,
2013-01,1.004,
2013-04,0.682,
2013-07,0.596,
2013-10,0.470,
2014-01,0.371,
2014-04,0.292,
2014-07,0.750,
