"",BBK01.OEBJ01S,BBK01.OEBJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:07,
2002-01,1.057,
2002-04,1.132,
2002-07,1.116,
2002-10,1.088,
2003-01,1.024,
2003-04,1.016,
2003-07,1.020,
2003-10,1.073,
2004-01,0.962,
2004-04,0.963,
2004-07,0.967,
2004-10,1.094,
2005-01,1.180,
2005-04,1.030,
2005-07,1.045,
2005-10,1.203,
2006-01,1.116,
2006-04,1.188,
2006-07,1.240,
2006-10,1.468,
2007-01,1.443,
2007-04,1.320,
2007-07,1.313,
2007-10,1.496,
2008-01,1.379,
2008-04,1.409,
2008-07,1.425,
2008-10,1.548,
2009-01,1.508,
2009-04,1.538,
2009-07,1.547,
2009-10,1.727,
2010-01,1.634,
2010-04,1.666,
2010-07,1.678,
2010-10,1.914,
2011-01,1.744,
2011-04,1.666,
2011-07,1.707,
2011-10,1.905,
2012-01,1.847,
2012-04,1.883,
2012-07,1.952,
2012-10,2.107,
2013-01,1.670,
2013-04,2.035,
2013-07,2.121,
2013-10,2.187,
2014-01,2.086,
2014-04,2.173,
2014-07,2.282,
