"",BBK01.OELI06M,BBK01.OELI06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:59,
2002-01,2.348,
2002-04,2.341,
2002-07,2.321,
2002-10,2.300,
2003-01,2.217,
2003-04,2.169,
2003-07,2.114,
2003-10,2.095,
2004-01,2.079,
2004-04,2.079,
2004-07,2.057,
2004-10,1.998,
2005-01,1.928,
2005-04,1.878,
2005-07,1.837,
2005-10,1.802,
2006-01,1.795,
2006-04,1.836,
2006-07,1.878,
2006-10,1.927,
2007-01,2.024,
2007-04,2.128,
2007-07,2.262,
2007-10,2.314,
2008-01,2.394,
2008-04,2.487,
2008-07,2.705,
2008-10,2.812,
2009-01,2.604,
2009-04,2.377,
2009-07,1.976,
2009-10,1.764,
2010-01,1.677,
2010-04,1.623,
2010-07,1.538,
2010-10,1.513,
2011-01,1.545,
2011-04,1.573,
2011-07,1.590,
2011-10,1.626,
2012-01,1.609,
2012-04,1.590,
2012-07,1.561,
2012-10,1.466,
2013-01,1.335,
2013-04,1.264,
2013-07,1.179,
2013-10,1.136,
2014-01,1.071,
2014-04,1.053,
2014-07,1.018,
