"",BBSF2.M.1.T.00000.DAK01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DAK01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:25,
2009-09,14,
2009-10,13,
2009-11,13,
2009-12,13,
2010-01,14,
2010-02,14,
2010-03,13,
2010-04,12,
2010-05,13,
2010-06,13,
2010-07,6,
2010-08,6,
2010-09,8,
2010-10,9,
2010-11,9,
2010-12,9,
2011-01,9,
2011-02,10,
2011-03,8,
2011-04,9,
2011-05,8,
2011-06,7,
2011-07,6,
2011-08,5,
2011-09,5,
2011-10,5,
2011-11,5,
2011-12,5,
2012-01,6,
2012-02,7,
2012-03,7,
2012-04,7,
2012-05,5,
2012-06,5,
2012-07,5,
2012-08,5,
2012-09,6,
2012-10,6,
2012-11,6,
2012-12,6,
2013-01,6,
2013-02,6,
2013-03,6,
2013-04,6,
2013-05,6,
2013-06,5,
2013-07,5,
2013-08,5,
2013-09,5,
2013-10,3,
2013-11,3,
2013-12,3,
2014-01,3,
2014-02,3,
2014-03,3,
2014-04,3,
2014-05,3,
2014-06,2,
2014-07,2,
2014-08,3,
2014-09,3,
2014-10,4,
2014-11,4,
