"",BBK01.OUC245,BBK01.OUC245_FLAGS
"",Deposits and borrowing (excl. savings deposits and bank savings bonds) / Domestic employees / Time deposits / for more than 2 years / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:34:10,
1999-01,1.073,
1999-02,1.030,
1999-03,0.993,
1999-04,0.963,
1999-05,0.944,
1999-06,0.920,
1999-07,0.908,
1999-08,0.891,
1999-09,0.344,
1999-10,0.336,
1999-11,0.330,
1999-12,0.329,
2000-01,0.322,
2000-02,0.317,
2000-03,0.308,
2000-04,0.300,
2000-05,0.292,
2000-06,0.288,
2000-07,0.280,
2000-08,0.271,
2000-09,0.264,
2000-10,0.256,
2000-11,0.274,
2000-12,0.276,
2001-01,0.269,
2001-02,0.261,
2001-03,0.260,
2001-04,0.246,
2001-05,0.242,
2001-06,0.239,
2001-07,0.235,
2001-08,0.231,
2001-09,0.214,
2001-10,0.221,
2001-11,0.213,
2001-12,0.212,
2002-01,0.208,
2002-02,0.204,
2002-03,0.202,
2002-04,0.199,
2002-05,0.347,
2002-06,0.195,
2002-07,0.194,
2002-08,0.192,
2002-09,0.187,
2002-10,0.169,
2002-11,0.168,
2002-12,0.173,
2003-01,0.167,
2003-02,0.164,
2003-03,0.164,
2003-04,0.163,
2003-05,0.167,
2003-06,0.164,
2003-07,0.163,
2003-08,0.160,
2003-09,0.158,
2003-10,0.157,
2003-11,0.157,
2003-12,0.160,
2004-01,0.163,
2004-02,0.165,
2004-03,0.164,
2004-04,0.164,
2004-05,0.165,
2004-06,0.233,
2004-07,0.239,
2004-08,0.235,
2004-09,0.239,
2004-10,0.240,
2004-11,0.240,
2004-12,1.460,
2005-01,1.455,
2005-02,1.451,
2005-03,1.438,
2005-04,1.422,
2005-05,1.412,
2005-06,1.394,
2005-07,1.374,
2005-08,1.353,
2005-09,1.334,
2005-10,1.500,
2005-11,1.468,
2005-12,1.458,
2006-01,1.427,
2006-02,1.405,
2006-03,1.395,
2006-04,1.390,
2006-05,1.385,
2006-06,1.387,
2006-07,1.383,
2006-08,1.377,
2006-09,1.364,
2006-10,1.355,
2006-11,1.339,
2006-12,1.332,
2007-01,1.312,
2007-02,1.285,
2007-03,1.275,
2007-04,1.270,
2007-05,1.266,
2007-06,1.260,
2007-07,1.263,
2007-08,1.268,
2007-09,1.272,
2007-10,1.273,
2007-11,1.270,
2007-12,1.269,
2008-01,1.274,
2008-02,1.263,
2008-03,1.245,
2008-04,1.236,
2008-05,1.224,
2008-06,1.208,
2008-07,1.184,
2008-08,1.169,
2008-09,1.143,
2008-10,1.157,
2008-11,1.307,
2008-12,1.455,
2009-01,1.521,
2009-02,1.561,
2009-03,1.727,
2009-04,1.749,
2009-05,1.791,
2009-06,1.777,
2009-07,1.862,
2009-08,1.943,
2009-09,2.031,
2009-10,2.082,
2009-11,2.122,
2009-12,2.158,
2010-01,2.217,
2010-02,2.251,
2010-03,2.276,
2010-04,2.301,
2010-05,2.302,
2010-06,2.291,
2010-07,2.293,
2010-08,2.310,
2010-09,2.307,
2010-10,2.286,
2010-11,2.240,
2010-12,2.209,
2011-01,2.138,
2011-02,2.059,
2011-03,2.060,
2011-04,1.680,
2011-05,1.646,
2011-06,1.656,
2011-07,1.622,
2011-08,1.559,
2011-09,1.516,
2011-10,1.491,
2011-11,1.480,
2011-12,1.470,
2012-01,1.456,
2012-02,1.444,
2012-03,1.347,
2012-04,1.333,
2012-05,1.315,
2012-06,1.289,
2012-07,1.252,
2012-08,1.215,
2012-09,1.166,
2012-10,1.136,
2012-11,1.155,
2012-12,1.132,
2013-01,1.083,
2013-02,1.049,
2013-03,1.036,
2013-04,0.998,
2013-05,0.986,
2013-06,0.979,
2013-07,0.960,
2013-08,0.943,
2013-09,0.958,
2013-10,0.933,
2013-11,0.916,
2013-12,0.896,
2014-01,0.874,
2014-02,0.859,
2014-03,0.757,
2014-04,0.732,
2014-05,0.717,
2014-06,0.705,
2014-07,0.682,
2014-08,0.662,
2014-09,0.639,
2014-10,0.622,
2014-11,0.608,
2014-12,0.606,Provisional value
