"",BBSF2.M.1.S.I0015.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:37,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,4231,
1993-05,4267,
1993-06,4357,
1993-07,4552,
1993-08,4667,
1993-09,4684,
1993-10,4851,
1993-11,4857,
1993-12,5045,
1994-01,5166,
1994-02,5053,
1994-03,5028,
1994-04,5153,
1994-05,5056,
1994-06,4990,
1994-07,5101,
1994-08,5134,
1994-09,4965,
1994-10,5014,
1994-11,4995,
1994-12,5089,
1995-01,5092,
1995-02,5160,
1995-03,5075,
1995-04,5205,
1995-05,5344,
1995-06,5335,
1995-07,5466,
1995-08,5566,
1995-09,5605,
1995-10,5602,
1995-11,5719,
1995-12,5812,
1996-01,6044,
1996-02,6041,
1996-03,6100,
1996-04,6211,
1996-05,6268,
1996-06,6343,
1996-07,6599,
1996-08,6801,
1996-09,7020,
1996-10,7143,
1996-11,7367,
1996-12,7492,
1997-01,7820,
1997-02,8308,
1997-03,8453,
1997-04,8543,
1997-05,8752,
1997-06,9091,
1997-07,9742,
1997-08,9301,
1997-09,9779,
1997-10,9378,
1997-11,9214,
1997-12,9562,
1998-01,9984,
1998-02,10409,
1998-03,10942,
1998-04,10984,
1998-05,11389,
1998-06,11745,
1998-07,12099,
1998-08,11616,
1998-09,11427,
1998-10,11751,
1998-11,12372,
1998-12,12475,
1999-01,12960,
1999-02,12931,
1999-03,13203,
1999-04,13798,
1999-05,13660,
1999-06,13998,
1999-07,14461,
1999-08,14365,
1999-09,14203,
1999-10,14596,
1999-11,15238,
1999-12,16431,
2000-01,16559,
2000-02,17480,
2000-03,17769,
2000-04,17924,
2000-05,17766,
2000-06,17827,
2000-07,18309,
2000-08,18856,
2000-09,18640,
2000-10,18851,
2000-11,18239,
2000-12,18031,
2001-01,18260,
2001-02,18051,
2001-03,18071,
2001-04,18792,
2001-05,19005,
2001-06,18721,
2001-07,19131,
2001-08,18488,
2001-09,17613,
2001-10,18478,
2001-11,19096,
2001-12,19134,
2002-01,19096,
2002-02,19005,
2002-03,19331,
2002-04,19510,
2002-05,19246,
2002-06,18533,
2002-07,17939,
2002-08,18157,
2002-09,17548,
2002-10,17908,
2002-11,18236,
2002-12,17970,
2003-01,17799,
2003-02,17725,
2003-03,19311,
2003-04,19936,
2003-05,20237,
2003-06,20440,
2003-07,20522,
2003-08,20757,
2003-09,20637,
2003-10,21149,
2003-11,20761,
2003-12,21740,
2004-01,22230,
2004-02,22190,
2004-03,21974,
2004-04,21953,
2004-05,21853,
2004-06,21917,
2004-07,21759,
2004-08,21910,
2004-09,21919,
2004-10,21344,
2004-11,21375,
2004-12,21383,
2005-01,21688,
2005-02,21802,
2005-03,21900,
2005-04,21701,
2005-05,22129,
2005-06,22386,
2005-07,22644,
2005-08,22804,
2005-09,21491,
2005-10,20968,
2005-11,21135,
2005-12,21283,
2006-01,19988,
2006-02,20157,
2006-03,20299,
2006-04,20134,
2006-05,19810,
2006-06,19789,
2006-07,19757,
2006-08,20047,
2006-09,20176,
2006-10,20429,
2006-11,20247,
2006-12,20364,
2007-01,20186,
2007-02,19982,
2007-03,20062,
2007-04,20479,
2007-05,20601,
2007-06,20617,
2007-07,20523,
2007-08,20573,
2007-09,20327,
2007-10,20185,
2007-11,19817,
2007-12,19593,
2008-01,18976,
2008-02,19082,
2008-03,19160,
2008-04,19559,
2008-05,19491,
2008-06,18915,
2008-07,18854,
2008-08,18947,
2008-09,18180,
2008-10,17294,
2008-11,16982,
2008-12,16416,
2009-01,16029,
2009-02,15800,
2009-03,15922,
2009-04,14853,
2009-05,15437,
2009-06,15306,
2009-07,14685,
2009-08,14717,
2009-09,15493,
2009-10,15822,
2009-11,15771,
2009-12,15916,
2010-01,15787,
2010-02,15845,
2010-03,16142,
2010-04,15867,
2010-05,15894,
2010-06,15721,
2010-07,15869,
2010-08,15931,
2010-09,15771,
2010-10,15851,
2010-11,15689,
2010-12,16090,
2011-01,16202,
2011-02,16332,
2011-03,16303,
2011-04,16519,
2011-05,16626,
2011-06,16575,
2011-07,16540,
2011-08,15987,
2011-09,16135,
2011-10,16720,
2011-11,16607,
2011-12,16901,
2012-01,17344,
2012-02,17714,
2012-03,17517,
2012-04,17292,
2012-05,17076,
2012-06,17156,
2012-07,17373,
2012-08,17483,
2012-09,17687,
2012-10,17948,
2012-11,18035,
2012-12,18232,
2013-01,18718,
2013-02,18953,
2013-03,19261,
2013-04,19531,
2013-05,20045,
2013-06,20325,
2013-07,21278,
2013-08,20956,
2013-09,22927,
2013-10,23497,
2013-11,23884,
2013-12,24344,
2014-01,24422,
2014-02,24900,
2014-03,24854,
2014-04,24870,
2014-05,25265,
2014-06,25538,
2014-07,25666,
2014-08,26981,
2014-09,27207,
2014-10,27210,
2014-11,27539,
