"",BBK01.OEHJ07L,BBK01.OEHJ07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:52,
2002-01,0.049,
2002-04,0.043,
2002-07,0.040,
2002-10,0.041,
2003-01,0.036,
2003-04,0.092,
2003-07,0.088,
2003-10,0.089,
2004-01,0.097,
2004-04,0.122,
2004-07,0.127,
2004-10,0.134,
2005-01,0.143,
2005-04,0.103,
2005-07,0.134,
2005-10,0.134,
2006-01,0.138,
2006-04,0.132,
2006-07,0.128,
2006-10,0.128,
2007-01,0.123,
2007-04,0.115,
2007-07,0.111,
2007-10,0.111,
2008-01,0.103,
2008-04,0.092,
2008-07,0.089,
2008-10,0.102,
2009-01,0.106,
2009-04,0.118,
2009-07,0.140,
2009-10,0.153,
2010-01,0.151,
2010-04,0.157,
2010-07,0.158,
2010-10,0.162,
2011-01,0.164,
2011-04,0.165,
2011-07,0.161,
2011-10,0.161,
2012-01,0.161,
2012-04,0.160,
2012-07,0.158,
2012-10,0.157,
2013-01,0.159,
2013-04,0.151,
2013-07,0.134,
2013-10,0.134,
2014-01,0.131,
2014-04,0.117,
2014-07,0.120,
