"",BBK01.OEAE27K,BBK01.OEAE27K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:59,
2002-01,0.435,
2002-04,0.458,
2002-07,0.465,
2002-10,0.513,
2003-01,0.472,
2003-04,0.445,
2003-07,0.504,
2003-10,0.410,
2004-01,0.421,
2004-04,0.413,
2004-07,0.409,
2004-10,0.363,
2005-01,0.332,
2005-04,0.357,
2005-07,0.355,
2005-10,0.331,
2006-01,0.319,
2006-04,0.284,
2006-07,0.277,
2006-10,0.281,
2007-01,0.289,
2007-04,0.295,
2007-07,0.323,
2007-10,0.292,
2008-01,0.336,
2008-04,0.399,
2008-07,0.387,
2008-10,0.360,
2009-01,0.307,
2009-04,0.317,
2009-07,0.273,
2009-10,0.540,
2010-01,0.414,
2010-04,0.568,
2010-07,0.555,
2010-10,0.595,
2011-01,0.622,
2011-04,0.656,
2011-07,0.702,
2011-10,0.574,
2012-01,0.546,
2012-04,0.550,
2012-07,0.702,
2012-10,0.725,
2013-01,0.728,
2013-04,0.783,
2013-07,0.591,
2013-10,0.553,
2014-01,0.593,
2014-04,0.535,
2014-07,0.654,
