"",BBK01.OEAD34Q,BBK01.OEAD34Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:26,
2002-01,0.178,
2002-04,0.174,
2002-07,0.175,
2002-10,0.171,
2003-01,0.167,
2003-04,0.172,
2003-07,0.167,
2003-10,0.154,
2004-01,0.154,
2004-04,0.139,
2004-07,0.138,
2004-10,0.136,
2005-01,0.132,
2005-04,0.126,
2005-07,0.113,
2005-10,0.108,
2006-01,0.106,
2006-04,0.104,
2006-07,0.109,
2006-10,0.104,
2007-01,0.124,
2007-04,0.178,
2007-07,0.158,
2007-10,0.141,
2008-01,0.074,
2008-04,0.080,
2008-07,0.081,
2008-10,0.083,
2009-01,0.084,
2009-04,0.080,
2009-07,0.083,
2009-10,0.079,
2010-01,0.071,
2010-04,0.067,
2010-07,0.060,
2010-10,0.059,
2011-01,0.056,
2011-04,0.054,
2011-07,0.051,
2011-10,0.055,
2012-01,0.054,
2012-04,0.053,
2012-07,0.055,
2012-10,0.104,
2013-01,0.104,
2013-04,0.102,
2013-07,0.101,
2013-10,0.097,
2014-01,0.081,
2014-04,0.077,
2014-07,0.074,
