"",BBFB1.Q.N.DE.HU.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:05,
1991-01,-17.395,
1991-04,38.876,
1991-07,-120.673,
1991-10,-23.474,
1992-01,52.230,
1992-04,6.728,
1992-07,-73.179,
1992-10,67.372,
1993-01,131.345,
1993-04,91.364,
1993-07,-31.212,
1993-10,137.067,
1994-01,162.554,
1994-04,207.649,
1994-07,-105.229,
1994-10,127.289,
1995-01,232.948,
1995-04,262.551,
1995-07,44.580,
1995-10,205.152,
1996-01,-5.296,
1996-04,118.859,
1996-07,-72.885,
1996-10,-7.453,
1997-01,-7.068,
1997-04,-44.361,
1997-07,-69.408,
1997-10,233.169,
1998-01,283.423,
1998-04,163.765,
1998-07,-213.705,
1998-10,129.716,
1999-01,187.145,
1999-04,81.455,
1999-07,-209.647,
1999-10,94.041,
2000-01,-13.398,
2000-04,66.966,
2000-07,-192.684,
2000-10,-51.784,
2001-01,-236.995,
2001-04,-569.011,
2001-07,-931.530,
2001-10,-279.545,
2002-01,-283.624,
2002-04,-410.724,
2002-07,-383.395,
2002-10,-58.257,
2003-01,-24.636,
2003-04,5.683,
2003-07,-101.694,
2003-10,-280.180,
2004-01,-21.905,
2004-04,157.563,
2004-07,161.499,
2004-10,227.464,
2005-01,484.445,
2005-04,409.413,
2005-07,-156.335,
2005-10,250.613,
2006-01,601.506,
2006-04,590.504,
2006-07,-42.808,
2006-10,283.757,
2007-01,477.905,
2007-04,149.883,
2007-07,-113.215,
2007-10,208.995,
2008-01,474.284,
2008-04,540.609,
2008-07,-87.110,
2008-10,99.031,
2009-01,-117.496,
2009-04,-357.958,
2009-07,-474.148,
2009-10,-310.537,
2010-01,17.974,
2010-04,-256.705,
2010-07,-82.355,
2010-10,-335.017,
2011-01,-283.213,
2011-04,-573.140,
2011-07,-711.672,
2011-10,-516.862,
2012-01,-700.848,
2012-04,-734.525,
2012-07,-702.475,
2012-10,-705.504,
2013-01,365.129,
2013-04,54.017,
2013-07,-92.280,
2013-10,-168.739,
2014-01,217.037,Provisional value
2014-04,-179.863,Provisional value
2014-07,-125.924,Provisional value
