"",BBK01.RU5728,BBK01.RU5728_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / Poland / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:13:00,
1982-06,0.233,
1982-07,0.249,
1982-08,0.249,
1982-09,0.205,
1982-10,0.236,
1982-11,0.238,
1982-12,0.244,
1983-01,0.271,
1983-02,0.244,
1983-03,0.258,
1983-04,0.279,
1983-05,0.280,
1983-06,0.255,
1983-07,0.309,
1983-08,0.314,
1983-09,0.322,
1983-10,0.310,
1983-11,0.313,
1983-12,0.322,
1984-01,0.337,
1984-02,0.315,
1984-03,0.315,
1984-04,0.322,
1984-05,0.312,
1984-06,0.337,
1984-07,0.354,
1984-08,0.342,
1984-09,0.355,
1984-10,0.376,
1984-11,0.418,
1984-12,0.371,
1985-01,0.359,
1985-02,0.424,
1985-03,0.416,
1985-04,0.385,
1985-05,0.395,
1985-06,0.386,
1985-07,0.360,
1985-08,0.380,
1985-09,0.384,
1985-10,0.360,
1985-11,0.327,
1985-12,0.306,
1986-01,0.313,
1986-02,0.309,
1986-03,0.275,
1986-04,0.288,
1986-05,0.280,
1986-06,0.264,
1986-07,0.265,
1986-08,0.293,
1986-09,0.304,
1986-10,0.290,
1986-11,0.289,
1986-12,0.268,
1987-01,0.264,
1987-02,0.263,
1987-03,0.272,
1987-04,0.289,
1987-05,0.290,
1987-06,0.322,
1987-07,0.325,
1987-08,0.339,
1987-09,0.342,
1987-10,0.359,
1987-11,0.374,
1987-12,0.355,
1988-01,0.347,
1988-02,0.364,
1988-03,0.346,
1988-04,0.354,
1988-05,0.371,
1988-06,0.375,
1988-07,0.387,
1988-08,0.418,
1988-09,0.447,
1988-10,0.477,
1988-11,0.440,
1988-12,0.438,
1989-01,0.439,
1989-02,0.456,
1989-03,0.468,
1989-04,0.456,
1989-05,0.458,
1989-06,0.440,
1989-07,0.416,
1989-08,0.368,
1989-09,0.420,
1989-10,0.439,
1989-11,0.516,
1989-12,0.568,
1990-01,0.584,
1990-02,0.576,
1990-03,0.617,
1990-04,0.633,
1990-05,0.586,
1990-06,0.569,
1990-07,0.558,
1990-08,0.564,
1990-09,0.571,
1990-10,0.585,
1990-11,0.589,
1990-12,0.617,
1991-01,0.530,
1991-02,0.537,
1991-03,0.551,
1991-04,0.480,
1991-05,0.502,
1991-06,0.482,
1991-07,0.452,
1991-08,0.503,
1991-09,0.461,
1991-10,0.493,
1991-11,0.482,
1991-12,0.511,
1992-01,0.456,
1992-02,0.451,
1992-03,0.515,
1992-04,0.481,
1992-05,0.484,
1992-06,0.530,
1992-07,0.471,
1992-08,0.466,
1992-09,0.519,
1992-10,0.516,
1992-11,0.576,
1992-12,0.628,
1993-01,0.609,
1993-02,0.627,
1993-03,0.594,
1993-04,0.714,
1993-05,0.619,
1993-06,0.676,
1993-07,0.593,
