"",BBK01.OEBM03O,BBK01.OEBM03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:32,
2002-01,0.084,
2002-04,0.168,
2002-07,0.284,
2002-10,0.356,
2003-01,0.364,
2003-04,0.368,
2003-07,0.518,
2003-10,0.559,
2004-01,0.212,
2004-04,0.265,
2004-07,0.550,
2004-10,0.514,
2005-01,0.539,
2005-04,0.355,
2005-07,0.201,
2005-10,0.132,
2006-01,0.096,
2006-04,0.108,
2006-07,0.103,
2006-10,0.099,
2007-01,0.090,
2007-04,0.123,
2007-07,0.152,
2007-10,0.179,
2008-01,0.218,
2008-04,0.227,
2008-07,0.313,
2008-10,0.401,
2009-01,0.311,
2009-04,0.263,
2009-07,0.207,
2009-10,0.082,
2010-01,0.074,
2010-04,0.086,
2010-07,0.088,
2010-10,0.076,
2011-01,0.077,
2011-04,0.087,
2011-07,0.109,
2011-10,0.068,
2012-01,0.164,
2012-04,0.144,
2012-07,0.212,
2012-10,0.186,
2013-01,0.146,
2013-04,0.164,
2013-07,0.170,
2013-10,0.171,
2014-01,0.140,
2014-04,0.136,
2014-07,0.160,
