"",BBK01.OEYO01V,BBK01.OEYO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:23,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.082,
2005-10,0.083,
2006-01,0.084,
2006-04,0.086,
2006-07,0.093,
2006-10,0.091,
2007-01,0.100,
2007-04,0.095,
2007-07,0.093,
2007-10,0.089,
2008-01,0.087,
2008-04,0.095,
2008-07,0.087,
2008-10,0.085,
2009-01,0.087,
2009-04,0.086,
2009-07,0.085,
2009-10,0.083,
2010-01,0.083,
2010-04,0.137,
2010-07,0.165,
2010-10,0.212,
2011-01,0.199,
2011-04,0.157,
2011-07,0.154,
2011-10,0.151,
2012-01,0.146,
2012-04,0.144,
2012-07,0.141,
2012-10,0.137,
2013-01,0.129,
2013-04,0.128,
2013-07,0.129,
2013-10,0.150,
2014-01,0.159,
2014-04,0.150,
2014-07,0.149,
