"",BBEX3.M.PKR.USD.CA.AC.A01,BBEX3.M.PKR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Pakistan * / USD 1 = PKR ... (middle),
unit,PKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:15,
1990-01,21.47355,
1990-02,21.47355,
1990-03,21.53370,
1990-04,21.91465,
1990-05,21.95475,
1990-06,21.86455,
1990-07,21.77430,
1990-08,21.79435,
1990-09,21.79435,
1990-10,21.90465,
1990-11,21.90465,
1990-12,21.95475,
1991-01,22.20540,
1991-02,22.20540,
1991-03,23.00740,
1991-04,23.55875,
1991-05,23.85950,
1991-06,24.36075,
1991-07,24.71165,
1991-08,24.76175,
1991-09,24.66150,
1991-10,24.74170,
1991-11,24.78180,
1991-12,24.78180,
1992-01,24.71165,
1992-02,24.76175,
1992-03,25.04245,
1992-04,25.11265,
1992-05,25.16275,
1992-06,25.19285,
1992-07,25.19285,
1992-08,25.14270,
1992-09,25.14270,
1992-10,25.31320,
1992-11,25.63395,
1992-12,25.76425,
1993-01,26.06500,
1993-02,26.31570,
1993-03,26.71665,
1993-04,26.76675,
1993-05,27.00735,
1993-06,27.22790,
1993-07,29.92465,
1993-08,29.92465,
1993-09,29.92465,
1993-10,30.12520,
1993-11,30.12520,
1993-12,30.19530,
1994-01,30.33565,
1994-02,30.54620,
1994-03,30.57625,
1994-04,30.62645,
1994-05,30.72670,
1994-06,30.72670,
1994-07,30.66650,
1994-08,30.72670,
1994-09,30.72670,
1994-10,30.72670,
1994-11,30.77675,
1994-12,30.87700,
1995-01,30.93715,
1995-02,30.95720,
1995-03,30.95720,
1995-04,30.93715,
1995-05,31.04745,
1995-06,31.08755,
1995-07,31.26800,
1995-08,31.39830,
1995-09,31.62895,
1995-10,34.33570,
1995-11,34.33570,
1995-12,34.33570,
1996-01,34.41585,
1996-02,34.48600,
1996-03,34.60630,
1996-04,34.83695,
1996-05,34.91710,
1996-06,35.18775,
1996-07,35.40830,
1996-08,35.70905,
1996-09,37.06245,
1996-10,40.22030,
1996-11,40.22030,
1996-12,40.22030,
1997-01,40.22030,
1997-02,40.22030,
1997-03,40.22030,
1997-04,40.34060,
1997-05,40.49100,
1997-06,40.56115,
1997-07,40.62130,
1997-08,40.62130,
1997-09,40.62130,
1997-10,44.16020,
1997-11,44.16020,
1997-12,44.16020,
1998-01,44.16020,
1998-02,44.16020,
1998-03,44.26500,
1998-04,44.14125,
1998-05,44.39500,
1998-06,46.22000,
1998-07,46.11500,
1998-08,50.08420,comment
1998-09,50.16070,
1998-10,50.91970,
1998-11,50.16422,
1998-12,49.49201,
1999-01,50.08547,
1999-02,50.32598,
1999-03,50.18178,
1999-04,50.60536,
1999-05,51.50000,comment
1999-06,51.42300,
1999-07,51.16875,
1999-08,51.65000,
1999-09,51.74600,
1999-10,51.76250,
1999-11,51.82500,
1999-12,51.82500,
2000-01,51.65000,
2000-02,51.82500,
2000-03,51.82500,
2000-04,51.82500,
2000-05,51.82500,
2000-06,52.20000,
2000-07,53.42000,
2000-08,54.91000,
2000-09,58.52500,
2000-10,57.32500,
2000-11,57.90000,
2000-12,58.05000,
2001-01,59.42000,
2001-02,60.25000,
2001-03,61.00000,
2001-04,61.05000,
2001-05,63.25000,
2001-06,64.10000,
2001-07,64.10000,
2001-08,64.05000,
2001-09,63.95000,
2001-10,61.50000,
2001-11,60.75000,
2001-12,60.05000,
2002-01,60.02500,
2002-02,60.10000,
2002-03,60.12500,
2002-04,60.12500,
2002-05,60.05000,
2002-06,60.10000,
2002-07,59.52500,
2002-08,59.27500,
2002-09,59.12500,
2002-10,58.90000,
2002-11,58.37500,
2002-12,58.30000,
2003-01,58.22000,
2003-02,58.10000,
2003-03,57.85000,
2003-04,57.70000,
2003-05,57.55000,
2003-06,57.85000,
2003-07,57.63000,
2003-08,57.83000,
2003-09,58.05000,
2003-10,57.40000,
2003-11,57.32000,
2003-12,57.42000,
2004-01,57.10000,
2004-02,57.30000,
2004-03,57.10000,
2004-04,57.49000,
2004-05,57.72500,
2004-06,58.30000,
2004-07,58.38000,
2004-08,58.70500,
2004-09,59.18500,
2004-10,61.35000,
2004-11,59.87500,
2004-12,59.50500,
2005-01,59.38000,
2005-02,59.30000,
2005-03,59.40000,
2005-04,59.48000,
2005-05,59.65000,
2005-06,59.65000,
2005-07,59.65000,
2005-08,59.70000,
2005-09,59.80000,
2005-10,59.75000,
2005-11,59.80000,
2005-12,59.86000,
2006-01,59.88000,
2006-02,59.88000,
2006-03,59.98000,
2006-04,60.10000,
2006-05,60.20000,
2006-06,60.25000,
2006-07,60.38500,
2006-08,60.38500,
2006-09,60.58000,
2006-10,60.60000,
2006-11,60.85000,
2006-12,60.92000,
2007-01,60.70000,
2007-02,60.70000,
2007-03,60.80000,
2007-04,60.70000,
2007-05,60.73000,
2007-06,60.55000,
2007-07,60.40000,
2007-08,60.43000,
2007-09,60.70000,
2007-10,60.70000,
2007-11,61.13000,
2007-12,61.45000,
2008-01,62.60000,
2008-02,62.50000,
2008-03,62.75000,
2008-04,64.50000,
2008-05,66.90000,
2008-06,68.10000,
2008-07,71.35000,
2008-08,75.70000,
2008-09,78.10000,
2008-10,81.40000,
2008-11,78.60000,
2008-12,78.80000,
2009-01,78.90000,
2009-02,79.80000,
2009-03,80.30000,
2009-04,80.35000,
2009-05,80.80000,
2009-06,81.20000,
2009-07,83.10000,
2009-08,82.90000,
2009-09,83.20000,
2009-10,83.65000,
2009-11,83.45000,
2009-12,84.20000,
2010-01,84.65000,
2010-02,85.00000,
2010-03,84.10000,
2010-04,84.00000,
2010-05,85.00000,
2010-06,85.50000,
2010-07,85.65000,
2010-08,85.70000,
2010-09,86.10000,
2010-10,85.85000,
2010-11,85.70000,
2010-12,85.80000,
2011-01,85.70000,
2011-02,85.60000,
2011-03,85.15000,
2011-04,84.70000,
2011-05,85.80000,
2011-06,85.95000,
2011-07,86.35000,
2011-08,87.10000,
2011-09,87.30000,
2011-10,86.50000,
2011-11,88.10000,
2011-12,89.70000,
2012-01,90.10000,
2012-02,90.75000,
2012-03,90.60000,
2012-04,90.70000,
2012-05,93.10000,
2012-06,94.10000,
2012-07,94.60000,
2012-08,94.35000,
2012-09,94.60000,
2012-10,95.70000,
2012-11,96.40000,
2012-12,97.00000,
2013-01,97.50000,
2013-02,98.00000,
2013-03,98.20000,
2013-04,98.25000,
2013-05,98.35000,
2013-06,98.70000,
2013-07,101.60000,
2013-08,104.10000,
2013-09,105.40000,
2013-10,106.50000,
2013-11,108.10000,
2013-12,105.10000,
2014-01,105.10000,
2014-02,104.80000,
2014-03,97.80000,
2014-04,98.10000,
2014-05,98.40000,
2014-06,98.65000,
2014-07,98.50000,
2014-08,101.40000,
2014-09,102.60000,
2014-10,102.90000,
2014-11,101.50000,
2014-12,100.50000,
2015-01,100.90000,
