"",BBEX3.M.NGN.USD.CA.AA.A01,BBEX3.M.NGN.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Nigeria * / USD 1 = NGN ... (buying),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:42,
1995-02,81.1800,comment
1995-03,81.1800,
1995-04,79.2000,
1995-05,79.2000,
1995-06,79.2000,
1995-07,79.2000,
1995-08,79.2000,
1995-09,81.1800,
1995-10,81.1800,
1995-11,84.1500,
1995-12,84.1500,
1996-01,84.1500,
1996-02,81.6750,
1996-03,81.6750,
1996-04,81.6750,
1996-05,81.6750,
1996-06,80.1900,
1996-07,80.1900,
1996-08,79.2000,
1996-09,79.2000,
1996-10,79.2000,
1996-11,79.2000,
1996-12,79.2000,
1997-01,79.2000,
1997-02,79.2000,
1997-03,84.1500,
1997-04,84.1500,
1997-05,84.1500,
1997-06,84.1500,
1997-07,82.1700,
1997-08,81.1800,
1997-09,81.1800,
1997-10,81.1800,
1997-11,78.2100,
1997-12,74.2500,
1998-01,80.1900,
1998-02,83.1600,
1998-03,83.1600,
1998-04,83.6600,
1998-05,85.1400,
1998-06,85.1400,
1998-07,83.1600,
1998-08,83.1600,
1998-09,85.1400,
1998-10,85.1400,
1998-11,85.1400,
1998-12,85.1400,
1999-01,85.1400,
1999-02,85.1400,
1999-03,89.1000,
1999-04,89.1000,
1999-05,93.9312,
1999-06,93.9312,
1999-07,93.9312,
1999-08,93.9312,
1999-09,93.9312,
1999-10,94.7000,
1999-11,96.9000,
1999-12,97.7000,
2000-01,98.6500,
2000-02,99.9500,
2000-03,99.6700,
2000-04,99.3700,
2000-05,100.2000,
2000-06,101.2000,
2000-07,103.0000,
2000-08,101.5500,
2000-09,101.2500,
2000-10,101.5000,
2000-11,101.6000,
2000-12,109.0500,
2001-01,109.8000,
2001-02,109.6000,
2001-03,109.7000,
2001-04,113.2000,
2001-05,112.1000,
2001-06,111.0000,
2001-07,110.7000,
2001-08,110.6000,
2001-09,110.6000,
2001-10,110.6000,
2001-11,111.6000,
2001-12,112.4500,
2002-01,113.2000,
2002-02,114.7000,
2002-03,115.1000,
2002-04,115.3000,
2002-05,115.8000,
2002-06,119.1000,
2002-07,125.0000,
