"",BBK01.CEBW02,BBK01.CEBW02_FLAGS
"",Claims from company pension commitments debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:49,
1991-01,110.2,
1991-04,112.0,
1991-07,113.8,
1991-10,115.8,
1992-01,117.7,
1992-04,119.8,
1992-07,121.9,
1992-10,124.2,
1993-01,125.2,
1993-04,126.2,
1993-07,127.3,
1993-10,128.4,
1994-01,129.7,
1994-04,131.0,
1994-07,132.4,
1994-10,133.9,
1995-01,135.5,
1995-04,137.3,
1995-07,139.0,
1995-10,141.0,
1996-01,141.9,
1996-04,142.7,
1996-07,143.6,
1996-10,144.5,
1997-01,145.4,
1997-04,146.3,
1997-07,147.2,
1997-10,148.1,
1998-01,149.2,
1998-04,150.3,
1998-07,151.5,
1998-10,152.6,
1999-01,153.4,
1999-04,154.2,
1999-07,155.1,
1999-10,155.9,
2000-01,159.1,
2000-04,162.4,
2000-07,165.6,
2000-10,168.9,
2001-01,171.6,
2001-04,174.3,
2001-07,177.0,
2001-10,179.8,
2002-01,182.1,
2002-04,184.4,
2002-07,186.8,
2002-10,189.1,
2003-01,191.0,
2003-04,193.0,
2003-07,195.0,
2003-10,196.9,
2004-01,198.6,
2004-04,200.2,
2004-07,201.9,
2004-10,203.5,
2005-01,204.9,
2005-04,206.3,
2005-07,207.7,
2005-10,209.0,
2006-01,211.1,
2006-04,213.1,
2006-07,215.2,
2006-10,217.2,
2007-01,217.5,
2007-04,217.8,
2007-07,218.2,
2007-10,218.5,
2008-01,219.2,
2008-04,219.9,
2008-07,220.6,
2008-10,221.3,
2009-01,222.6,
2009-04,223.9,
2009-07,225.2,
2009-10,226.5,
2010-01,227.2,
2010-04,227.8,
2010-07,228.5,
2010-10,229.2,
2011-01,230.6,
2011-04,232.1,
2011-07,233.5,
2011-10,235.0,
2012-01,236.6,
2012-04,238.2,
2012-07,239.9,
2012-10,241.5,
2013-01,243.0,
2013-04,244.4,
2013-07,245.8,
2013-10,247.2,
2014-01,248.7,
