"",BBK01.OEAE04T,BBK01.OEAE04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:03,
2002-01,0.787,
2002-04,0.803,
2002-07,0.810,
2002-10,0.821,
2003-01,0.789,
2003-04,0.804,
2003-07,0.838,
2003-10,0.836,
2004-01,0.848,
2004-04,0.881,
2004-07,0.856,
2004-10,0.865,
2005-01,0.863,
2005-04,0.852,
2005-07,0.861,
2005-10,0.870,
2006-01,0.849,
2006-04,0.853,
2006-07,0.866,
2006-10,0.871,
2007-01,0.860,
2007-04,0.828,
2007-07,0.845,
2007-10,0.795,
2008-01,0.767,
2008-04,0.784,
2008-07,0.766,
2008-10,0.755,
2009-01,0.417,
2009-04,0.465,
2009-07,0.474,
2009-10,0.456,
2010-01,0.489,
2010-04,0.499,
2010-07,0.529,
2010-10,0.511,
2011-01,0.607,
2011-04,0.613,
2011-07,0.613,
2011-10,0.670,
2012-01,0.655,
2012-04,0.657,
2012-07,0.674,
2012-10,0.675,
2013-01,0.694,
2013-04,0.687,
2013-07,0.687,
2013-10,0.708,
2014-01,0.715,
2014-04,0.741,
2014-07,0.735,
