"",BBK01.OEXO03T,BBK01.OEXO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:47,
2002-01,0.202,
2002-04,0.186,
2002-07,0.151,
2002-10,0.133,
2003-01,0.185,
2003-04,0.153,
2003-07,0.148,
2003-10,0.148,
2004-01,0.165,
2004-04,0.127,
2004-07,0.131,
2004-10,0.099,
2005-01,0.115,
2005-04,0.111,
2005-07,0.126,
2005-10,0.111,
2006-01,0.150,
2006-04,0.134,
2006-07,0.139,
2006-10,0.142,
2007-01,0.194,
2007-04,0.152,
2007-07,0.156,
2007-10,0.158,
2008-01,0.202,
2008-04,0.195,
2008-07,0.186,
2008-10,0.258,
2009-01,0.220,
2009-04,0.206,
2009-07,0.175,
2009-10,0.234,
2010-01,0.219,
2010-04,0.127,
2010-07,0.130,
2010-10,0.138,
2011-01,0.164,
2011-04,0.135,
2011-07,0.121,
2011-10,0.149,
2012-01,0.166,
2012-04,0.121,
2012-07,0.141,
2012-10,0.157,
2013-01,0.162,
2013-04,0.126,
2013-07,0.096,
2013-10,0.093,
2014-01,0.111,
2014-04,0.080,
2014-07,0.093,
