"",BBEX3.M.TMM.USD.CA.AC.A01,BBEX3.M.TMM.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Turkmenistan / USD 1 = TMM ... (middle),
unit,TMM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:22,
1996-04,3000.00,
1996-05,3755.00,
1996-06,3935.00,
1996-07,4025.00,
1996-08,4015.00,
1996-09,4075.00,
1996-10,4050.00,
1996-11,4050.00,
1996-12,4070.00,
1997-01,4090.00,
1997-02,4100.00,
1997-03,4105.00,
1997-04,4170.00,
1997-05,4165.00,
1997-06,4165.00,
1997-07,4165.00,
1997-08,4165.00,
1997-09,4165.00,
1997-10,4165.00,
1997-11,4165.00,
1997-12,4165.00,
1998-01,4165.00,
1998-02,4165.00,
1998-03,4165.00,
1998-04,5200.00,
1998-05,5200.00,
1998-06,5200.00,
1998-07,5200.00,
1998-08,5200.00,
1998-09,5200.00,
1998-10,5200.00,
1998-11,5200.00,
1998-12,5200.00,
1999-01,5200.00,
1999-02,5200.00,
1999-03,5200.00,
1999-04,5200.00,
1999-05,5200.00,
1999-06,5200.00,
1999-07,5200.00,
1999-08,5200.00,
1999-09,5200.00,
1999-10,5200.00,
1999-11,5200.00,
1999-12,5200.00,
2000-01,5200.00,
2000-02,5200.00,
2000-03,5200.00,
2000-04,5200.00,
2000-05,5200.00,
2000-06,5200.00,
2000-07,5200.00,
2000-08,5200.00,
2000-09,5200.00,
2000-10,5200.00,
2000-11,5200.00,
2000-12,5200.00,
2001-01,5200.00,
2001-02,5200.00,
2001-03,5200.00,
2001-04,5200.00,
2001-05,5200.00,
2001-06,5200.00,
2001-07,5200.00,
2001-08,5200.00,
2001-09,5200.00,
2001-10,5200.00,
2001-11,5200.00,
2001-12,5200.00,
2002-01,5200.00,
2002-02,5200.00,
2002-03,5200.00,
2002-04,5200.00,
2002-05,5200.00,
2002-06,5200.00,
2002-07,5200.00,
2002-08,5200.00,
2002-09,5200.00,
2002-10,5200.00,
2002-11,5200.00,
2002-12,5200.00,
2003-01,5200.00,
2003-02,5200.00,
2003-03,5200.00,
2003-04,5200.00,
2003-05,5200.00,
2003-06,5200.00,
2003-07,5200.00,
2003-08,5200.00,
2003-09,5200.00,
2003-10,5200.00,
2003-11,5200.00,
2003-12,5200.00,
2004-01,5200.00,
2004-02,5200.00,
2004-03,5200.00,
2004-04,5200.00,
2004-05,5200.00,
2004-06,5200.00,
2004-07,5200.00,
2004-08,5200.00,
2004-09,5200.00,
2004-10,5200.00,
2004-11,5200.00,
2004-12,5200.00,
2005-01,5200.00,
2005-02,5200.00,
2005-03,5200.00,
2005-04,5200.00,
2005-05,5200.00,
2005-06,5200.00,
2005-07,5200.00,
2005-08,5200.00,
2005-09,5200.00,
2005-10,5200.00,
2005-11,5200.00,
2005-12,5200.00,
2006-01,5200.00,
2006-02,5200.00,
2006-03,5200.00,
2006-04,5200.00,
2006-05,5200.00,
2006-06,5200.00,
2006-07,5200.00,
2006-08,5200.00,
2006-09,5200.00,
2006-10,5200.00,
2006-11,5200.00,
2006-12,5200.00,
2007-01,5200.00,
2007-02,5200.00,
2007-03,5200.00,
2007-04,5200.00,
2007-05,5200.00,
2007-06,5200.00,
2007-07,5200.00,
2007-08,5200.00,
2007-09,5200.00,
2007-10,5200.00,
2007-11,5200.00,
2007-12,5200.00,
2008-01,6250.00,comment
2008-02,6250.00,
2008-03,6250.00,
2008-04,6250.00,
2008-05,14250.00,comment
2008-06,14250.00,
2008-07,14250.00,
2008-08,14250.00,
2008-09,14250.00,
2008-10,14250.00,
2008-11,14250.00,
2008-12,14250.00,comment
"","General: The multiple exchange rate system previously in use was unified on 10 April 1996. The manat has been pegged to the US dollar since April 1998. Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1; for exchange rates as of 2009, see BBEX3:M:TMT:USD:CA:AC:A01.",
"","Source: Central Bank of Turkmenistan, Ashgabat.",
"","Comment on 2008-01: On 1 January 2008, the fixed exchange rate with the US dollar was changed from USD 1 = TMM 5,200 to USD 1 = TMM 6,250; calculated devaluation: 16.8%.",
"","Comment on 2008-05: On 1 May 2008, the fixed exchange rate with the US dollar was changed from USD 1 = TMM 6,250 to USD 1 = TMM 14,250; calculated devaluation: 56,1%.",
"","Comment on 2008-12: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1.",
