"",BBK01.OEXB13T,BBK01.OEXB13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:14,
2002-01,0.534,
2002-04,0.540,
2002-07,0.546,
2002-10,0.556,
2003-01,0.533,
2003-04,0.521,
2003-07,0.520,
2003-10,0.513,
2004-01,0.498,
2004-04,0.497,
2004-07,0.491,
2004-10,0.419,
2005-01,0.415,
2005-04,0.415,
2005-07,0.395,
2005-10,0.388,
2006-01,0.384,
2006-04,0.396,
2006-07,0.405,
2006-10,0.394,
2007-01,0.399,
2007-04,0.409,
2007-07,0.434,
2007-10,0.460,
2008-01,0.431,
2008-04,0.440,
2008-07,0.436,
2008-10,0.451,
2009-01,0.491,
2009-04,0.497,
2009-07,0.513,
2009-10,0.516,
2010-01,0.516,
2010-04,0.528,
2010-07,0.540,
2010-10,0.531,
2011-01,0.516,
2011-04,0.525,
2011-07,0.538,
2011-10,0.540,
2012-01,0.540,
2012-04,0.544,
2012-07,0.547,
2012-10,0.556,
2013-01,0.557,
2013-04,0.554,
2013-07,0.557,
2013-10,0.568,
2014-01,0.564,
2014-04,0.560,
2014-07,0.563,
