"",BBK01.OEAC50L,BBK01.OEAC50L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:58,
2002-01,9.851,
2002-04,9.696,
2002-07,9.470,
2002-10,7.476,
2003-01,7.537,
2003-04,7.336,
2003-07,7.349,
2003-10,7.227,
2004-01,7.102,
2004-04,6.903,
2004-07,6.772,
2004-10,6.886,
2005-01,6.659,
2005-04,6.428,
2005-07,6.472,
2005-10,6.359,
2006-01,6.204,
2006-04,6.141,
2006-07,6.192,
2006-10,6.166,
2007-01,6.188,
2007-04,6.454,
2007-07,6.478,
2007-10,6.382,
2008-01,6.436,
2008-04,6.304,
2008-07,6.279,
2008-10,6.538,
2009-01,6.322,
2009-04,6.278,
2009-07,6.194,
2009-10,6.122,
2010-01,6.047,
2010-04,5.950,
2010-07,6.062,
2010-10,6.049,
2011-01,5.746,
2011-04,5.712,
2011-07,5.731,
2011-10,5.700,
2012-01,5.729,
2012-04,5.710,
2012-07,5.540,
2012-10,5.453,
2013-01,5.422,
2013-04,5.345,
2013-07,5.320,
2013-10,5.354,
2014-01,5.371,
2014-04,5.345,
2014-07,5.384,
