"",BBK01.OELL06P,BBK01.OELL06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:15,
2002-01,0.256,
2002-04,0.268,
2002-07,0.254,
2002-10,0.257,
2003-01,0.270,
2003-04,0.266,
2003-07,0.248,
2003-10,0.238,
2004-01,0.232,
2004-04,0.226,
2004-07,0.222,
2004-10,0.224,
2005-01,0.219,
2005-04,0.211,
2005-07,0.206,
2005-10,0.205,
2006-01,0.207,
2006-04,0.198,
2006-07,0.201,
2006-10,0.199,
2007-01,0.198,
2007-04,0.204,
2007-07,0.219,
2007-10,0.228,
2008-01,0.230,
2008-04,0.233,
2008-07,0.247,
2008-10,0.252,
2009-01,0.233,
2009-04,0.218,
2009-07,0.190,
2009-10,0.177,
2010-01,0.172,
2010-04,0.153,
2010-07,0.148,
2010-10,0.150,
2011-01,0.148,
2011-04,0.144,
2011-07,0.136,
2011-10,0.129,
2012-01,0.125,
2012-04,0.128,
2012-07,0.128,
2012-10,0.126,
2013-01,0.118,
2013-04,0.112,
2013-07,0.098,
2013-10,0.083,
2014-01,0.077,
2014-04,0.073,
2014-07,0.068,
