"",BBK01.OEBB24H,BBK01.OEBB24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:50,
2002-01,12.446,
2002-04,12.312,
2002-07,11.964,
2002-10,11.797,
2003-01,11.357,
2003-04,10.925,
2003-07,10.142,
2003-10,10.283,
2004-01,9.468,
2004-04,9.145,
2004-07,9.204,
2004-10,8.720,
2005-01,8.924,
2005-04,8.496,
2005-07,8.335,
2005-10,8.142,
2006-01,7.828,
2006-04,7.734,
2006-07,7.979,
2006-10,7.834,
2007-01,7.683,
2007-04,7.787,
2007-07,7.564,
2007-10,7.856,
2008-01,7.765,
2008-04,7.709,
2008-07,7.855,
2008-10,7.554,
2009-01,7.456,
2009-04,5.863,
2009-07,5.623,
2009-10,4.804,
2010-01,4.472,
2010-04,4.215,
2010-07,3.395,
2010-10,3.251,
2011-01,3.432,
2011-04,3.307,
2011-07,3.355,
2011-10,3.036,
2012-01,2.828,
2012-04,2.556,
2012-07,2.437,
2012-10,2.347,
2013-01,2.416,
2013-04,2.413,
2013-07,2.271,
2013-10,2.169,
2014-01,2.029,
2014-04,2.121,
2014-07,2.099,
