"",BBK01.OECB20R,BBK01.OECB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:42,
2002-01,0.858,
2002-04,0.859,
2002-07,0.858,
2002-10,0.856,
2003-01,0.856,
2003-04,0.853,
2003-07,0.849,
2003-10,0.841,
2004-01,0.833,
2004-04,0.834,
2004-07,0.829,
2004-10,0.907,
2005-01,1.646,
2005-04,1.642,
2005-07,1.660,
2005-10,1.674,
2006-01,1.676,
2006-04,1.683,
2006-07,1.690,
2006-10,1.701,
2007-01,1.698,
2007-04,1.742,
2007-07,1.751,
2007-10,1.741,
2008-01,1.735,
2008-04,1.736,
2008-07,1.750,
2008-10,1.732,
2009-01,1.720,
2009-04,2.028,
2009-07,2.014,
2009-10,2.006,
2010-01,1.992,
2010-04,1.979,
2010-07,1.977,
2010-10,1.976,
2011-01,1.974,
2011-04,1.951,
2011-07,1.950,
2011-10,1.951,
2012-01,1.955,
2012-04,1.949,
2012-07,1.952,
2012-10,1.947,
2013-01,1.944,
2013-04,1.940,
2013-07,1.940,
2013-10,1.946,
2014-01,1.945,
2014-04,1.946,
2014-07,1.955,
