"",BBK01.OELB20V,BBK01.OELB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:58,
2002-01,1.264,
2002-04,1.268,
2002-07,1.272,
2002-10,1.271,
2003-01,1.274,
2003-04,1.278,
2003-07,1.292,
2003-10,1.304,
2004-01,1.308,
2004-04,1.334,
2004-07,1.358,
2004-10,1.463,
2005-01,1.456,
2005-04,1.464,
2005-07,1.488,
2005-10,1.498,
2006-01,1.466,
2006-04,1.472,
2006-07,1.496,
2006-10,1.430,
2007-01,1.439,
2007-04,1.448,
2007-07,1.461,
2007-10,1.469,
2008-01,1.460,
2008-04,1.466,
2008-07,1.501,
2008-10,1.509,
2009-01,1.504,
2009-04,1.537,
2009-07,1.552,
2009-10,1.574,
2010-01,1.581,
2010-04,1.608,
2010-07,1.635,
2010-10,1.587,
2011-01,1.588,
2011-04,1.682,
2011-07,1.705,
2011-10,1.742,
2012-01,1.768,
2012-04,2.060,
2012-07,2.103,
2012-10,2.138,
2013-01,2.169,
2013-04,2.200,
2013-07,2.250,
2013-10,2.298,
2014-01,2.318,
2014-04,2.369,
2014-07,2.426,
