"",BBK01.AU1729,BBK01.AU1729_FLAGS
"","Marginal lending facility / Bundesbank Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 15:18:32,
1999-02,1985,
1999-03,272,
1999-04,495,
1999-05,610,
1999-06,258,
1999-07,253,
1999-08,345,
1999-09,147,
1999-10,221,
1999-11,161,
1999-12,192,
2000-01,1438,
2000-02,62,
2000-03,133,
2000-04,166,
2000-05,275,
2000-06,236,
2000-07,242,
2000-08,81,
2000-09,295,
2000-10,313,
2000-11,160,
2000-12,244,
2001-01,344,
2001-02,1349,
2001-03,193,
2001-04,1471,
2001-05,244,
2001-06,115,
2001-07,149,
2001-08,72,
2001-09,144,
2001-10,506,
2001-11,191,
2001-12,237,
2002-01,328,
2002-02,93,
2002-03,151,
2002-04,260,
2002-05,59,
2002-06,111,
2002-07,154,
2002-08,36,
2002-09,72,
2002-10,84,
2002-11,64,
2002-12,926,
2003-01,469,
2003-02,237,
2003-03,116,
2003-04,64,
2003-05,382,
2003-06,308,
2003-07,276,
2003-08,205,
2003-09,64,
2003-10,73,
2003-11,44,
2003-12,316,
2004-01,183,
2004-02,.,No value available
2004-03,239,
2004-04,207,
2004-05,33,
2004-06,122,
2004-07,171,
2004-08,26,
2004-09,80,
2004-10,226,
2004-11,84,
2004-12,64,
2005-01,119,
2005-02,44,
2005-03,42,
2005-04,176,
2005-05,93,
2005-06,106,
2005-07,70,
2005-08,24,
2005-09,30,
2005-10,49,
2005-11,92,
2005-12,19,
2006-01,144,
2006-02,32,
2006-03,88,
2006-04,88,
2006-05,73,
2006-06,63,
2006-07,58,
2006-08,144,
2006-09,52,
2006-10,76,
2006-11,114,
2006-12,76,
2007-01,45,
2007-02,26,
2007-03,40,
2007-04,58,
2007-05,168,
2007-06,112,
2007-07,54,
2007-08,64,
2007-09,151,
2007-10,212,
2007-11,36,
2007-12,264,
2008-01,121,
2008-02,27,
2008-03,41,
2008-04,47,
2008-05,31,
2008-06,141,
2008-07,15,
2008-08,13,
2008-09,68,
2008-10,859,
2008-11,2727,
2008-12,1975,
2009-01,2374,
2009-02,1345,
2009-03,1180,
2009-04,719,
2009-05,144,
2009-06,664,
2009-07,620,
2009-08,106,
2009-09,149,
2009-10,195,
2009-11,187,
2009-12,583,
2010-01,109,
2010-02,134,
2010-03,829,
2010-04,178,
2010-05,58,
2010-06,19,
2010-07,62,
2010-08,65,
2010-09,188,
2010-10,95,
2010-11,34,
2010-12,122,
2011-01,105,
2011-02,46,
2011-03,12,
2011-04,25,
2011-05,188,
2011-06,14,
2011-07,37,
2011-08,11,
2011-09,24,
2011-10,28,
2011-11,119,
2011-12,129,
2012-01,125,
2012-02,1,
2012-03,16,
2012-04,126,
2012-05,81,
2012-06,470,
2012-07,61,
2012-08,221,
2012-09,24,
2012-10,151,
2012-11,89,
2012-12,207,
2013-01,88,
2013-02,6,
2013-03,4,
2013-04,38,
2013-05,6,
2013-06,20,
2013-07,10,
2013-08,2,
2013-09,3,
2013-10,51,
2013-11,31,
2013-12,11,
2014-01,54,
2014-02,8,
2014-03,51,
2014-04,99,
2014-05,80,
2014-06,36,
2014-07,113,
2014-08,13,
2014-09,68,
2014-10,24,
2014-11,85,
2014-12,35,
2015-01,17,
