"",BBDA1.M.DE.N.EX.S.A.S1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Asia / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:45,
1993-01,2799611,
1993-02,3253320,
1993-03,3314955,
1993-04,3066636,
1993-05,2882149,
1993-06,3304819,
1993-07,3313740,
1993-08,3258042,
1993-09,3197976,
1993-10,3699125,
1993-11,3622813,
1993-12,4351593,
1994-01,3344452,
1994-02,3147729,
1994-03,3710365,
1994-04,3615205,
1994-05,4052199,
1994-06,3890547,
1994-07,3634011,
1994-08,3995988,
1994-09,3837096,
1994-10,3623351,
1994-11,4115156,
1994-12,4794796,
1995-01,3567253,
1995-02,3745265,
1995-03,4227958,
1995-04,3379102,
1995-05,4088945,
1995-06,3892050,
1995-07,4063716,
1995-08,4010843,
1995-09,3892490,
1995-10,4301071,
1995-11,4699177,
1995-12,4713077,
1996-01,3805251,
1996-02,4188484,
1996-03,4127453,
1996-04,4187786,
1996-05,4041597,
1996-06,3860085,
1996-07,4712517,
1996-08,4102826,
1996-09,4230935,
1996-10,5029151,
1996-11,4799294,
1996-12,4495439,
1997-01,4100410,
1997-02,4046296,
1997-03,4309239,
1997-04,4834770,
1997-05,4204267,
1997-06,4674129,
1997-07,5082167,
1997-08,4238073,
1997-09,5029314,
1997-10,4840865,
1997-11,4627227,
1997-12,4820692,
1998-01,4056786,
1998-02,3797143,
1998-03,4435977,
1998-04,4103997,
1998-05,3982624,
1998-06,3758258,
1998-07,4294229,
1998-08,3719643,
1998-09,3886174,
1998-10,3923242,
1998-11,3951857,
1998-12,3972770,
1999-01,3198033,
1999-02,3571191,
1999-03,4648719,
1999-04,3752739,
1999-05,3841291,
1999-06,4367226,
1999-07,4606042,
1999-08,3722493,
1999-09,4285527,
1999-10,4188412,
1999-11,4806515,
1999-12,4804279,
2000-01,3933637,
2000-02,4454129,
2000-03,5275820,
2000-04,4205413,
2000-05,5343021,
2000-06,5123357,
2000-07,5382037,
2000-08,5759129,
2000-09,5514044,
2000-10,6176105,
2000-11,6020983,
2000-12,5731997,
2001-01,5469430,
2001-02,5126337,
2001-03,6223067,
