"",BBK01.OEAG04R,BBK01.OEAG04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:34,
2002-01,1.895,
2002-04,1.923,
2002-07,1.964,
2002-10,2.036,
2003-01,2.337,
2003-04,2.310,
2003-07,2.322,
2003-10,2.125,
2004-01,2.148,
2004-04,2.141,
2004-07,2.133,
2004-10,2.169,
2005-01,2.200,
2005-04,2.178,
2005-07,2.174,
2005-10,2.183,
2006-01,2.149,
2006-04,2.154,
2006-07,2.150,
2006-10,2.111,
2007-01,2.156,
2007-04,2.125,
2007-07,2.092,
2007-10,2.029,
2008-01,2.058,
2008-04,2.089,
2008-07,2.399,
2008-10,2.236,
2009-01,2.175,
2009-04,2.120,
2009-07,2.081,
2009-10,2.144,
2010-01,2.225,
2010-04,2.224,
2010-07,2.259,
2010-10,2.313,
2011-01,2.382,
2011-04,2.386,
2011-07,2.337,
2011-10,2.390,
2012-01,2.452,
2012-04,2.412,
2012-07,2.440,
2012-10,2.475,
2013-01,2.506,
2013-04,2.537,
2013-07,2.610,
2013-10,2.647,
2014-01,2.708,
2014-04,2.743,
2014-07,2.721,
