"",BBSF2.M.1.T.00000.HED01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Hedgefunds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:04,
2009-09,-1,
2009-10,36,
2009-11,-1,
2009-12,24,
2010-01,35,
2010-02,1,
2010-03,231,
2010-04,102,
2010-05,60,
2010-06,-153,
2010-07,-254,
2010-08,5,
2010-09,4,
2010-10,-14,
2010-11,-29,
2010-12,16,
2011-01,8,
2011-02,4,
2011-03,5,
2011-04,9,
2011-05,-4,
2011-06,-31,
2011-07,34,
2011-08,0,
2011-09,0,
2011-10,55,
2011-11,-3,
2011-12,8,
2012-01,36,
2012-02,-12,
2012-03,74,
2012-04,118,
2012-05,-9,
2012-06,-23,
2012-07,-8,
2012-08,-17,
2012-09,6,
2012-10,40,
2012-11,-38,
2012-12,-5,
2013-01,20,
2013-02,25,
2013-03,27,
2013-04,47,
2013-05,30,
2013-06,-24,
2013-07,47,
2013-08,-6,
2013-09,5,
2013-10,21,
2013-11,-19,
2013-12,-21,
2014-01,43,
2014-02,-2,
2014-03,-3,
2014-04,53,
2014-05,1,
2014-06,-34,
2014-07,33,
2014-08,0,
2014-09,-1,
2014-10,58,
2014-11,0,
