"",BBK01.OEAE22M,BBK01.OEAE22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:27,
2002-01,0.851,
2002-04,0.831,
2002-07,0.887,
2002-10,0.935,
2003-01,0.895,
2003-04,1.011,
2003-07,0.901,
2003-10,0.985,
2004-01,0.991,
2004-04,0.989,
2004-07,0.860,
2004-10,0.861,
2005-01,0.880,
2005-04,0.933,
2005-07,0.900,
2005-10,0.944,
2006-01,0.958,
2006-04,0.877,
2006-07,0.832,
2006-10,0.703,
2007-01,0.681,
2007-04,0.692,
2007-07,0.799,
2007-10,0.786,
2008-01,0.825,
2008-04,0.931,
2008-07,0.926,
2008-10,0.985,
2009-01,0.795,
2009-04,0.953,
2009-07,1.040,
2009-10,1.062,
2010-01,1.157,
2010-04,1.549,
2010-07,1.533,
2010-10,1.438,
2011-01,1.395,
2011-04,1.420,
2011-07,1.434,
2011-10,1.458,
2012-01,1.366,
2012-04,1.474,
2012-07,1.405,
2012-10,1.418,
2013-01,1.529,
2013-04,1.604,
2013-07,1.586,
2013-10,1.497,
2014-01,1.574,
2014-04,1.648,
2014-07,1.690,
