"",BBFB1.Q.N.DE.AU.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:44,
1991-01,196.466,
1991-04,188.342,
1991-07,233.069,
1991-10,236.753,
1992-01,253.073,
1992-04,231.742,
1992-07,196.134,
1992-10,221.650,
1993-01,155.605,
1993-04,191.526,
1993-07,168.876,
1993-10,178.558,
1994-01,182.121,
1994-04,179.189,
1994-07,190.801,
1994-10,183.781,
1995-01,190.752,
1995-04,163.386,
1995-07,164.504,
1995-10,193.464,
1996-01,169.203,
1996-04,154.757,
1996-07,156.580,
1996-10,176.869,
1997-01,203.428,
1997-04,209.394,
1997-07,203.540,
1997-10,215.556,
1998-01,225.380,
1998-04,246.243,
1998-07,239.790,
1998-10,253.753,
1999-01,193.479,
1999-04,236.049,
1999-07,215.162,
1999-10,214.064,
2000-01,265.502,
2000-04,235.168,
2000-07,278.345,
2000-10,301.580,
2001-01,266.410,
2001-04,302.175,
2001-07,263.203,
2001-10,240.576,
2002-01,255.495,
2002-04,320.980,
2002-07,228.755,
2002-10,252.642,
2003-01,240.037,
2003-04,237.647,
2003-07,198.059,
2003-10,199.535,
2004-01,307.055,
2004-04,231.266,
2004-07,268.272,
2004-10,271.970,
2005-01,216.813,
2005-04,240.097,
2005-07,240.451,
2005-10,318.018,
2006-01,354.182,
2006-04,303.075,
2006-07,336.638,
2006-10,350.321,
2007-01,373.216,
2007-04,393.181,
2007-07,378.447,
2007-10,342.670,
2008-01,330.870,
2008-04,278.296,
2008-07,463.683,
2008-10,452.335,
2009-01,536.636,
2009-04,430.146,
2009-07,385.915,
2009-10,370.333,
2010-01,291.661,
2010-04,469.752,
2010-07,456.293,
2010-10,481.315,
2011-01,532.826,
2011-04,613.532,
2011-07,745.229,
2011-10,623.780,
2012-01,736.281,
2012-04,777.405,
2012-07,703.405,
2012-10,121.797,
2013-01,631.303,
2013-04,758.928,
2013-07,513.386,
2013-10,447.502,
2014-01,487.330,Provisional value
2014-04,411.111,Provisional value
2014-07,461.690,Provisional value
