"",BBFB1.Q.N.DE.US.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:48,
1991-01,2673.663,
1991-04,3107.351,
1991-07,2994.331,
1991-10,2875.422,
1992-01,2715.543,
1992-04,2788.896,
1992-07,2802.312,
1992-10,2711.078,
1993-01,2492.428,
1993-04,2499.705,
1993-07,2671.117,
1993-10,2447.032,
1994-01,2626.015,
1994-04,2517.537,
1994-07,2744.532,
1994-10,2630.450,
1995-01,2372.898,
1995-04,2346.828,
1995-07,2405.894,
1995-10,2561.058,
1996-01,2309.977,
1996-04,2546.733,
1996-07,2637.976,
1996-10,3037.510,
1997-01,2701.697,
1997-04,3794.232,
1997-07,3648.346,
1997-10,3675.715,
1998-01,3443.760,
1998-04,3231.284,
1998-07,3388.990,
1998-10,3174.734,
1999-01,3204.746,
1999-04,3382.726,
1999-07,3901.134,
1999-10,4082.764,
2000-01,4022.278,
2000-04,4478.977,
2000-07,4684.791,
2000-10,5082.207,
2001-01,4176.306,
2001-04,4287.266,
2001-07,4292.939,
2001-10,5604.035,
2002-01,4635.223,
2002-04,5092.011,
2002-07,5230.406,
2002-10,5804.726,
2003-01,4135.997,
2003-04,4414.998,
2003-07,4251.131,
2003-10,4728.300,
2004-01,4217.155,
2004-04,4647.983,
2004-07,4669.675,
2004-10,5069.004,
2005-01,5378.738,
2005-04,4792.605,
2005-07,5017.146,
2005-10,5870.951,
2006-01,4705.352,
2006-04,5116.082,
2006-07,5198.814,
2006-10,6058.580,
2007-01,4995.204,
2007-04,5640.395,
2007-07,5730.778,
2007-10,6245.976,
2008-01,4985.209,
2008-04,5449.739,
2008-07,5330.890,
2008-10,6316.827,
2009-01,5139.132,
2009-04,5657.417,
2009-07,4913.297,
2009-10,5480.139,
2010-01,5547.810,
2010-04,5891.414,
2010-07,5699.190,
2010-10,6655.584,
2011-01,6268.589,
2011-04,6033.916,
2011-07,6052.137,
2011-10,7348.452,
2012-01,6165.992,
2012-04,6998.326,
2012-07,7091.693,
2012-10,7510.469,
2013-01,7096.811,
2013-04,7286.903,
2013-07,7811.166,
2013-10,7565.336,
2014-01,7312.241,Provisional value
2014-04,7441.675,Provisional value
2014-07,7194.689,Provisional value
