"",BBK01.OEBI04H,BBK01.OEBI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:31,
2002-01,24.582,
2002-04,22.171,
2002-07,23.376,
2002-10,20.991,
2003-01,19.558,
2003-04,18.209,
2003-07,17.228,
2003-10,18.570,
2004-01,18.289,
2004-04,17.425,
2004-07,17.956,
2004-10,18.815,
2005-01,16.627,
2005-04,16.680,
2005-07,17.797,
2005-10,19.398,
2006-01,18.554,
2006-04,19.043,
2006-07,23.450,
2006-10,26.724,
2007-01,29.244,
2007-04,30.325,
2007-07,38.782,
2007-10,46.900,
2008-01,42.636,
2008-04,44.832,
2008-07,49.428,
2008-10,51.562,
2009-01,40.571,
2009-04,53.076,
2009-07,38.460,
2009-10,34.444,
2010-01,31.708,
2010-04,27.272,
2010-07,28.826,
2010-10,28.209,
2011-01,30.595,
2011-04,35.923,
2011-07,44.397,
2011-10,44.904,
2012-01,40.642,
2012-04,41.347,
2012-07,44.417,
2012-10,32.383,
2013-01,36.649,
2013-04,44.019,
2013-07,24.301,
2013-10,27.740,
2014-01,29.236,
2014-04,27.795,
2014-07,27.930,
