"",BBK01.OEAD07T,BBK01.OEAD07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:08,
2002-01,0.104,
2002-04,0.110,
2002-07,0.111,
2002-10,0.112,
2003-01,0.128,
2003-04,0.132,
2003-07,0.144,
2003-10,0.153,
2004-01,0.152,
2004-04,0.155,
2004-07,0.145,
2004-10,0.134,
2005-01,0.133,
2005-04,0.130,
2005-07,0.120,
2005-10,0.114,
2006-01,0.123,
2006-04,0.124,
2006-07,0.122,
2006-10,0.121,
2007-01,0.121,
2007-04,0.113,
2007-07,0.105,
2007-10,0.104,
2008-01,0.109,
2008-04,0.101,
2008-07,0.100,
2008-10,0.126,
2009-01,0.197,
2009-04,0.094,
2009-07,0.089,
2009-10,0.121,
2010-01,0.083,
2010-04,0.096,
2010-07,0.096,
2010-10,0.091,
2011-01,0.092,
2011-04,0.094,
2011-07,0.092,
2011-10,0.120,
2012-01,0.124,
2012-04,0.130,
2012-07,0.138,
2012-10,0.143,
2013-01,0.152,
2013-04,0.151,
2013-07,0.151,
2013-10,0.137,
2014-01,0.128,
2014-04,0.123,
2014-07,0.129,
