"",BBFN1.M.DE.N.1.A.CZ.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:33,
1994-07,0.672,
1994-08,0.742,
1994-09,0.790,
1994-10,0.869,
1994-11,0.898,
1994-12,0.790,
1995-01,0.802,
1995-02,0.811,
1995-03,0.852,
1995-04,0.892,
1995-05,0.914,
1995-06,0.958,
1995-07,0.963,
1995-08,0.993,
1995-09,1.009,
1995-10,1.027,
1995-11,1.066,
1995-12,0.957,
1996-01,0.962,
1996-02,0.938,
1996-03,1.029,
1996-04,1.023,
1996-05,1.058,
1996-06,1.086,
1996-07,1.052,
1996-08,1.079,
1996-09,1.105,
1996-10,1.124,
1996-11,1.215,
1996-12,1.134,
1997-01,1.079,
1997-02,1.112,
1997-03,1.156,
1997-04,1.190,
1997-05,1.198,
1997-06,1.244,
1997-07,1.269,
1997-08,1.251,
1997-09,1.268,
1997-10,1.306,
1997-11,1.317,
1997-12,1.449,
1998-01,1.221,
1998-02,1.277,
1998-03,1.333,
1998-04,1.333,
1998-05,1.339,
1998-06,1.357,
1998-07,1.313,
1998-08,1.273,
1998-09,1.391,
1998-10,1.395,
1998-11,1.446,
1998-12,1.347,
1999-01,1.302,
1999-02,1.275,
1999-03,1.343,
1999-04,1.310,
1999-05,1.436,
1999-06,1.482,
1999-07,1.464,
1999-08,1.399,
1999-09,1.442,
1999-10,1.478,
1999-11,1.509,
1999-12,1.434,
2000-01,1.427,
2000-02,1.445,
2000-03,1.540,
2000-04,1.607,
2000-05,1.679,
2000-06,1.698,
2000-07,1.680,
2000-08,1.742,
2000-09,1.821,
2000-10,1.846,
2000-11,1.872,
2000-12,1.860,
2001-01,1.840,
2001-02,1.891,
2001-03,1.879,
2001-04,1.973,
2001-05,1.942,
2001-06,2.081,
2001-07,1.935,
2001-08,1.885,
2001-09,1.989,
2001-10,2.059,
2001-11,2.016,
2001-12,1.879,
2002-01,1.734,
2002-02,1.788,
2002-03,1.776,
2002-04,1.815,
2002-05,1.894,
2002-06,1.909,
2002-07,1.878,
2002-08,1.829,
2002-09,1.883,
2002-10,1.960,
2002-11,1.924,
2002-12,1.772,
2003-01,1.776,
2003-02,1.732,
2003-03,1.788,
2003-04,1.807,
2003-05,1.731,
2003-06,1.724,
2003-07,1.753,
2003-08,1.735,
2003-09,1.820,
2003-10,1.896,
2003-11,1.940,
2003-12,1.680,
2004-01,1.720,
2004-02,1.689,
2004-03,1.726,
2004-04,1.748,
2004-05,1.827,
2004-06,1.734,
2004-07,1.629,
2004-08,1.658,
2004-09,1.780,
2004-10,2.004,
2004-11,2.027,
2004-12,1.861,
2005-01,1.850,
2005-02,1.824,
2005-03,1.894,
2005-04,1.903,
2005-05,1.962,
2005-06,1.971,
2005-07,1.936,
2005-08,1.940,
2005-09,2.039,
2005-10,2.089,
2005-11,2.139,
2005-12,1.970,
2006-01,1.937,
2006-02,1.924,
2006-03,2.143,
2006-04,2.112,
2006-05,2.175,
2006-06,2.246,
2006-07,2.161,
2006-08,2.027,
2006-09,2.203,
2006-10,2.290,
2006-11,2.347,
2006-12,1.968,
2007-01,2.150,
2007-02,2.203,
2007-03,2.354,
2007-04,2.268,
2007-05,2.279,
2007-06,2.313,
2007-07,2.195,
2007-08,2.237,
2007-09,2.404,
2007-10,2.533,
2007-11,2.621,
2007-12,2.432,
2008-01,2.535,
2008-02,2.722,
2008-03,2.840,
2008-04,2.899,
2008-05,2.984,
2008-06,3.161,
2008-07,3.262,
2008-08,3.320,
2008-09,3.705,
2008-10,3.684,
2008-11,3.750,
2008-12,3.679,
2009-01,3.541,
2009-02,3.656,
2009-03,3.903,
2009-04,3.728,
2009-05,3.778,
2009-06,4.707,
2009-07,4.442,
2009-08,3.818,
2009-09,3.978,
2009-10,4.648,
2009-11,4.720,
2009-12,2.860,
2010-01,2.214,
2010-02,2.185,
2010-03,3.041,
2010-04,2.925,
2010-05,2.759,
2010-06,2.876,
2010-07,2.676,
2010-08,2.545,
2010-09,3.038,
2010-10,2.821,
2010-11,2.609,
2010-12,2.467,
2011-01,2.297,
2011-02,2.398,
2011-03,2.691,
2011-04,2.462,
2011-05,2.526,
2011-06,2.691,
2011-07,2.463,
2011-08,2.423,
2011-09,3.057,
2011-10,2.622,
2011-11,2.723,
2011-12,2.666,
2012-01,2.628,
2012-02,2.751,
2012-03,3.384,
2012-04,2.728,
2012-05,2.830,
2012-06,2.991,
2012-07,2.841,
2012-08,2.809,
2012-09,3.213,
2012-10,2.644,
2012-11,2.670,
2012-12,2.606,
2013-01,2.259,
2013-02,2.362,
2013-03,2.958,
2013-04,2.536,
2013-05,2.526,
2013-06,2.849,
2013-07,2.468,
2013-08,2.472,
2013-09,3.134,
2013-10,2.847,
2013-11,2.903,
2013-12,2.967,
2014-01,2.475,
2014-02,2.615,
2014-03,3.087,
2014-04,2.679,
2014-05,2.665,
2014-06,3.086,
2014-07,2.658,
2014-08,2.500,
2014-09,3.349,
2014-10,2.849,
2014-11,3.013,
2014-12,3.096,
