"",BBK01.OEHB20L,BBK01.OEHB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:51,
2002-01,21.219,
2002-04,21.422,
2002-07,21.743,
2002-10,21.981,
2003-01,22.026,
2003-04,22.343,
2003-07,22.699,
2003-10,22.989,
2004-01,23.064,
2004-04,23.376,
2004-07,22.946,
2004-10,22.706,
2005-01,22.334,
2005-04,22.318,
2005-07,22.402,
2005-10,22.425,
2006-01,22.326,
2006-04,22.401,
2006-07,22.428,
2006-10,22.440,
2007-01,22.267,
2007-04,22.287,
2007-07,22.357,
2007-10,22.311,
2008-01,22.190,
2008-04,22.174,
2008-07,22.208,
2008-10,22.192,
2009-01,22.132,
2009-04,22.075,
2009-07,22.141,
2009-10,22.196,
2010-01,22.067,
2010-04,22.062,
2010-07,22.102,
2010-10,22.222,
2011-01,22.178,
2011-04,22.258,
2011-07,22.306,
2011-10,22.384,
2012-01,22.371,
2012-04,22.540,
2012-07,22.704,
2012-10,22.870,
2013-01,22.930,
2013-04,23.047,
2013-07,23.240,
2013-10,23.327,
2014-01,23.293,
2014-04,23.440,
2014-07,23.677,
