"",BBK01.OXA8R7,BBK01.OXA8R7_FLAGS
"","Stocks of loans to enterprises in other euro area member states (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:35,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,0.747,
2010-07,0.987,
2010-08,0.576,
2010-09,0.552,
2010-10,0.563,
2010-11,0.839,
2010-12,0.532,
2011-01,0.572,
2011-02,0.531,
2011-03,0.461,
2011-04,0.452,
2011-05,0.441,
2011-06,0.367,
2011-07,0.349,
2011-08,0.329,
2011-09,0.316,
2011-10,0.346,
2011-11,0.326,
2011-12,0.415,
2012-01,0.528,
2012-02,0.540,
2012-03,0.464,
2012-04,0.472,
2012-05,0.472,
2012-06,0.449,
2012-07,0.441,
2012-08,0.396,
2012-09,0.392,
2012-10,0.145,
2012-11,0.145,
2012-12,0.140,
2013-01,0.115,
2013-02,0.112,
2013-03,0.113,
2013-04,0.068,
2013-05,0.071,
2013-06,0.051,
2013-07,0.051,
2013-08,0.046,
2013-09,0.044,
2013-10,0.040,
2013-11,0.039,
2013-12,0.038,
2014-01,0.040,
2014-02,0.039,
2014-03,0.039,
2014-04,0.017,
2014-05,0.042,
2014-06,0.109,
2014-07,0.111,
2014-08,0.111,
2014-09,0.115,
2014-10,0.115,
2014-11,0.115,
2014-12,0.083,Provisional value
