"",BBK01.OEAC48O,BBK01.OEAC48O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:45,
2002-01,0.425,
2002-04,0.439,
2002-07,0.451,
2002-10,0.422,
2003-01,0.438,
2003-04,0.464,
2003-07,0.487,
2003-10,0.478,
2004-01,0.532,
2004-04,0.482,
2004-07,0.493,
2004-10,0.538,
2005-01,0.592,
2005-04,0.612,
2005-07,0.623,
2005-10,0.605,
2006-01,0.643,
2006-04,0.673,
2006-07,0.706,
2006-10,0.723,
2007-01,0.720,
2007-04,0.714,
2007-07,0.735,
2007-10,0.760,
2008-01,0.765,
2008-04,0.786,
2008-07,0.771,
2008-10,0.884,
2009-01,1.020,
2009-04,1.006,
2009-07,1.048,
2009-10,1.128,
2010-01,1.246,
2010-04,1.534,
2010-07,1.669,
2010-10,1.595,
2011-01,1.679,
2011-04,1.685,
2011-07,1.723,
2011-10,1.845,
2012-01,1.880,
2012-04,2.176,
2012-07,2.300,
2012-10,2.368,
2013-01,2.422,
2013-04,2.506,
2013-07,2.491,
2013-10,2.570,
2014-01,2.529,
2014-04,2.655,
2014-07,2.741,
