"",BBK01.OEXB22V,BBK01.OEXB22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:38,
2002-01,0.062,
2002-04,0.060,
2002-07,0.074,
2002-10,0.077,
2003-01,0.086,
2003-04,0.106,
2003-07,0.098,
2003-10,0.086,
2004-01,0.090,
2004-04,0.094,
2004-07,0.098,
2004-10,0.096,
2005-01,0.097,
2005-04,0.100,
2005-07,0.113,
2005-10,0.088,
2006-01,0.101,
2006-04,0.106,
2006-07,0.092,
2006-10,0.056,
2007-01,0.056,
2007-04,0.054,
2007-07,0.055,
2007-10,0.047,
2008-01,0.036,
2008-04,0.039,
2008-07,0.035,
2008-10,0.077,
2009-01,0.077,
2009-04,0.089,
2009-07,0.102,
2009-10,0.100,
2010-01,0.095,
2010-04,0.094,
2010-07,0.091,
2010-10,0.072,
2011-01,0.084,
2011-04,0.058,
2011-07,0.060,
2011-10,0.042,
2012-01,0.035,
2012-04,0.027,
2012-07,0.033,
2012-10,0.051,
2013-01,0.051,
2013-04,0.039,
2013-07,0.038,
2013-10,0.037,
2014-01,0.043,
2014-04,0.042,
2014-07,0.050,
