"",BBSF2.M.1.T.00000.GEL01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Money market funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:05,
2009-09,70,
2009-10,70,
2009-11,69,
2009-12,68,
2010-01,68,
2010-02,68,
2010-03,68,
2010-04,68,
2010-05,70,
2010-06,69,
2010-07,71,
2010-08,69,
2010-09,70,
2010-10,68,
2010-11,69,
2010-12,68,
2011-01,67,
2011-02,59,
2011-03,59,
2011-04,60,
2011-05,60,
2011-06,60,
2011-07,55,
2011-08,55,
2011-09,55,
2011-10,54,
2011-11,53,
2011-12,52,
2012-01,49,
2012-02,49,
2012-03,48,
2012-04,48,
2012-05,48,
2012-06,48,
2012-07,49,
2012-08,46,
2012-09,45,
2012-10,42,
2012-11,43,
2012-12,43,
2013-01,43,
2013-02,43,
2013-03,42,
2013-04,43,
2013-05,42,
2013-06,40,
2013-07,41,
2013-08,40,
2013-09,38,
2013-10,36,
2013-11,36,
2013-12,35,
2014-01,35,
2014-02,35,
2014-03,35,
2014-04,35,
2014-05,34,
2014-06,34,
2014-07,34,
2014-08,33,
2014-09,33,
2014-10,30,
2014-11,29,
