"",BBK01.OU1133,BBK01.OU1133_FLAGS
"",Lending to non-banks (non-MFIs) / Total / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:50:11,
1948-12,0.094,
1949-01,-,Nothing exists
1949-02,-,Nothing exists
1949-03,-,Nothing exists
1949-04,-,Nothing exists
1949-05,-,Nothing exists
1949-06,0.116,
1949-07,-,Nothing exists
1949-08,-,Nothing exists
1949-09,-,Nothing exists
1949-10,-,Nothing exists
1949-11,-,Nothing exists
1949-12,0.183,
1950-01,-,Nothing exists
1950-02,-,Nothing exists
1950-03,-,Nothing exists
1950-04,-,Nothing exists
1950-05,-,Nothing exists
1950-06,0.209,
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,-,Nothing exists
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,0.256,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,0.239,
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,0.351,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,0.382,
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,-,Nothing exists
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,0.481,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,0.461,
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,-,Nothing exists
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,0.512,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,0.492,
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,-,Nothing exists
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,0.583,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,-,Nothing exists
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,0.553,
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,-,Nothing exists
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,0.655,
1956-01,-,Nothing exists
1956-02,-,Nothing exists
1956-03,-,Nothing exists
1956-04,-,Nothing exists
1956-05,-,Nothing exists
1956-06,0.632,
1956-07,-,Nothing exists
1956-08,-,Nothing exists
1956-09,-,Nothing exists
1956-10,-,Nothing exists
1956-11,-,Nothing exists
1956-12,0.660,
1957-01,-,Nothing exists
1957-02,-,Nothing exists
1957-03,-,Nothing exists
1957-04,-,Nothing exists
1957-05,-,Nothing exists
1957-06,0.651,
1957-07,-,Nothing exists
1957-08,-,Nothing exists
1957-09,-,Nothing exists
1957-10,-,Nothing exists
1957-11,-,Nothing exists
1957-12,0.775,
1958-01,-,Nothing exists
1958-02,-,Nothing exists
1958-03,-,Nothing exists
1958-04,-,Nothing exists
1958-05,-,Nothing exists
1958-06,0.748,
1958-07,-,Nothing exists
1958-08,-,Nothing exists
1958-09,-,Nothing exists
1958-10,-,Nothing exists
1958-11,-,Nothing exists
1958-12,0.849,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.837,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,1.185,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,1.104,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,1.215,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,1.147,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,1.283,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,1.243,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,1.379,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,1.296,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,1.436,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,1.386,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,1.620,
1965-01,1.619,
1965-02,1.606,
1965-03,1.584,
1965-04,1.563,
1965-05,1.572,
1965-06,1.539,
1965-07,1.520,
1965-08,1.488,
1965-09,1.612,
1965-10,1.646,
1965-11,1.669,
1965-12,1.691,
1966-01,1.730,
1966-02,1.756,
1966-03,1.783,
1966-04,1.762,
1966-05,1.761,
1966-06,1.750,
1966-07,1.702,
1966-08,1.745,
1966-09,1.937,
1966-10,1.965,
1966-11,1.942,
1966-12,1.987,
1967-01,2.052,
1967-02,2.108,
1967-03,2.112,
1967-04,2.143,
1967-05,2.132,
1967-06,2.086,
1967-07,2.066,
1967-08,2.254,
1967-09,2.332,
1967-10,2.408,
1967-11,2.538,
1967-12,2.712,
1968-01,2.759,
1968-02,2.847,
1968-03,2.803,
1968-04,2.796,
1968-05,2.761,
1968-06,2.770,
1968-07,2.757,
1968-08,2.791,
1968-09,2.945,
1968-10,3.045,
1968-11,3.074,
1968-12,3.200,
1969-01,3.239,
1969-02,3.286,
1969-03,3.290,
1969-04,3.297,
1969-05,3.279,
1969-06,3.268,
1969-07,3.274,
1969-08,3.348,
1969-09,3.485,
1969-10,3.584,
1969-11,3.709,
1969-12,3.781,
1970-01,3.729,
1970-02,3.549,
1970-03,3.535,
1970-04,3.547,
1970-05,3.480,
1970-06,3.356,
1970-07,3.379,
1970-08,3.427,
1970-09,3.585,
1970-10,3.651,
1970-11,3.612,
1970-12,3.694,
1971-01,3.652,
1971-02,3.654,
1971-03,3.626,
1971-04,3.731,
1971-05,3.678,
1971-06,3.734,
1971-07,3.835,
1971-08,3.919,
1971-09,3.969,
1971-10,4.069,
1971-11,4.183,
1971-12,4.117,
1972-01,4.065,
1972-02,4.080,
1972-03,4.054,
1972-04,4.107,
1972-05,4.100,
1972-06,4.094,
1972-07,4.001,
1972-08,4.011,
1972-09,4.139,
1972-10,4.195,
1972-11,4.250,
1972-12,4.349,
1973-01,4.343,
1973-02,4.341,
1973-03,4.276,
1973-04,4.251,
1973-05,4.248,
1973-06,4.258,
1973-07,4.268,
1973-08,4.138,
1973-09,4.150,
1973-10,4.393,
1973-11,4.465,
1973-12,4.667,
1974-01,4.668,
1974-02,4.789,
1974-03,4.731,
1974-04,4.982,
1974-05,5.017,
1974-06,5.090,
1974-07,5.512,
1974-08,5.720,
1974-09,5.944,
1974-10,6.270,
1974-11,6.458,
1974-12,6.707,
1975-01,6.305,
1975-02,6.386,
1975-03,6.289,
1975-04,6.278,
1975-05,6.285,
1975-06,6.366,
1975-07,6.364,
1975-08,6.912,
1975-09,7.166,
1975-10,7.377,
1975-11,7.435,
1975-12,7.254,
1976-01,7.173,
1976-02,7.174,
1976-03,7.265,
1976-04,7.245,
1976-05,7.369,
1976-06,7.456,
1976-07,7.145,
1976-08,7.287,
1976-09,7.367,
1976-10,7.380,
1976-11,7.425,
1976-12,7.253,
1977-01,7.459,
1977-02,7.522,
1977-03,7.621,
1977-04,7.770,
1977-05,7.674,
1977-06,7.789,
1977-07,7.671,
1977-08,7.650,
1977-09,7.608,
1977-10,8.059,
1977-11,8.479,
1977-12,8.621,
1978-01,8.574,
1978-02,8.633,
1978-03,8.579,
1978-04,8.679,
1978-05,8.755,
1978-06,9.122,
1978-07,9.137,
1978-08,9.339,
1978-09,9.903,
1978-10,9.877,
1978-11,10.270,
1978-12,10.624,
1979-01,10.484,
1979-02,10.637,
1979-03,10.791,
1979-04,10.873,
1979-05,10.718,
1979-06,11.117,
1979-07,10.948,
1979-08,11.194,
1979-09,11.463,
1979-10,11.418,
1979-11,11.741,
1979-12,12.009,
1980-01,11.249,
1980-02,11.167,
1980-03,11.102,
1980-04,11.360,
1980-05,11.435,
1980-06,11.669,
1980-07,11.438,
1980-08,11.343,
1980-09,11.560,
1980-10,11.821,
1980-11,12.055,
1980-12,12.727,
1981-01,11.870,
1981-02,12.009,
1981-03,12.128,
1981-04,12.340,
1981-05,11.927,
1981-06,12.103,
1981-07,12.049,
1981-08,12.580,
1981-09,12.655,
1981-10,12.968,
1981-11,13.431,
1981-12,13.307,
1982-01,13.807,
1982-02,14.016,
1982-03,13.974,
1982-04,14.044,
1982-05,14.057,
1982-06,14.125,
1982-07,14.521,
1982-08,15.227,
1982-09,15.635,
1982-10,16.164,
1982-11,16.257,
1982-12,16.373,
1983-01,16.151,
1983-02,16.536,
1983-03,15.636,
1983-04,16.026,
1983-05,15.926,
1983-06,16.463,
1983-07,16.330,
1983-08,16.335,
1983-09,16.492,
1983-10,16.936,
1983-11,17.159,
1983-12,16.572,
1984-01,16.393,
1984-02,16.452,
1984-03,16.268,
1984-04,16.538,
1984-05,16.554,
1984-06,16.607,
1984-07,16.628,
1984-08,16.910,
1984-09,17.411,
1984-10,17.912,
1984-11,18.163,
1984-12,18.673,
1985-01,18.288,
1985-02,18.478,
1985-03,18.971,
1985-04,19.056,
1985-05,19.520,
1985-06,19.697,
1985-07,19.203,
1985-08,19.116,
1985-09,19.192,
1985-10,19.737,
1985-11,20.038,
1985-12,20.705,
1986-01,20.675,
1986-02,20.127,
1986-03,19.805,
1986-04,20.012,
1986-05,20.029,
1986-06,20.214,
1986-07,19.941,
1986-08,19.787,
1986-09,19.830,
1986-10,20.633,
1986-11,20.605,
1986-12,20.175,
1987-01,19.921,
1987-02,20.022,
1987-03,20.113,
1987-04,19.724,
1987-05,19.545,
1987-06,19.656,
1987-07,19.842,
1987-08,20.000,
1987-09,20.140,
1987-10,21.635,
1987-11,22.179,
1987-12,22.388,
1988-01,22.985,
1988-02,23.102,
1988-03,23.369,
1988-04,23.122,
1988-05,23.639,
1988-06,25.163,
1988-07,25.754,
1988-08,26.501,
1988-09,25.700,
1988-10,26.036,
1988-11,26.165,
1988-12,26.584,
1989-01,27.826,
1989-02,26.893,
1989-03,26.446,
1989-04,26.784,
1989-05,26.548,
1989-06,26.460,
1989-07,26.604,
1989-08,26.729,
1989-09,27.080,
1989-10,27.071,
1989-11,28.020,
1989-12,27.876,
1990-01,27.445,
1990-02,27.977,
1990-03,29.382,
1990-04,28.756,
1990-05,28.822,
1990-06,37.300,
1990-07,36.973,
1990-08,35.224,
1990-09,35.474,
1990-10,36.336,
1990-11,36.429,
1990-12,37.056,
1991-01,37.354,
1991-02,32.449,
1991-03,31.821,
1991-04,31.482,
1991-05,31.972,
1991-06,32.384,
1991-07,31.485,
1991-08,32.172,
1991-09,32.139,
1991-10,33.053,
1991-11,32.172,
1991-12,31.885,
1992-01,31.510,
1992-02,30.501,
1992-03,29.238,
1992-04,29.049,
1992-05,28.924,
1992-06,28.757,
1992-07,29.525,
1992-08,29.240,
1992-09,28.310,
1992-10,31.516,
1992-11,31.925,
1992-12,33.698,
1993-01,31.831,
1993-02,32.657,
1993-03,31.274,
1993-04,30.196,
1993-05,30.262,
1993-06,30.740,
1993-07,31.789,
1993-08,31.232,
1993-09,31.798,
1993-10,32.872,
1993-11,32.966,
1993-12,35.009,
1994-01,34.832,
1994-02,34.792,
1994-03,35.795,
1994-04,35.119,
1994-05,35.710,
1994-06,35.482,
1994-07,35.310,
1994-08,35.285,
1994-09,34.995,
1994-10,35.461,
1994-11,36.342,
1994-12,36.320,
1995-01,35.606,
1995-02,37.168,
1995-03,38.598,
1995-04,37.330,
1995-05,38.770,
1995-06,37.198,
1995-07,38.009,
1995-08,37.324,
1995-09,37.515,
