"",BBK01.OELO01M,BBK01.OELO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:09,
2002-01,15.567,
2002-04,15.488,
2002-07,15.288,
2002-10,15.260,
2003-01,15.634,
2003-04,15.790,
2003-07,15.580,
2003-10,15.508,
2004-01,15.679,
2004-04,15.725,
2004-07,15.673,
2004-10,15.640,
2005-01,15.925,
2005-04,15.809,
2005-07,15.699,
2005-10,15.577,
2006-01,15.738,
2006-04,15.713,
2006-07,15.579,
2006-10,15.361,
2007-01,15.289,
2007-04,14.841,
2007-07,14.482,
2007-10,14.113,
2008-01,14.086,
2008-04,13.745,
2008-07,13.333,
2008-10,12.928,
2009-01,13.132,
2009-04,13.373,
2009-07,13.558,
2009-10,13.790,
2010-01,14.447,
2010-04,14.892,
2010-07,15.010,
2010-10,14.996,
2011-01,15.163,
2011-04,15.272,
2011-07,15.298,
2011-10,15.238,
2012-01,15.354,
2012-04,15.321,
2012-07,15.275,
2012-10,15.116,
2013-01,15.265,
2013-04,15.313,
2013-07,15.312,
2013-10,15.313,
2014-01,15.463,
2014-04,15.529,
2014-07,15.527,
