"",BBK01.OEAP03J,BBK01.OEAP03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:50,
2002-01,2.265,
2002-04,2.423,
2002-07,2.194,
2002-10,2.025,
2003-01,1.886,
2003-04,1.925,
2003-07,2.182,
2003-10,1.909,
2004-01,1.883,
2004-04,1.575,
2004-07,2.000,
2004-10,1.070,
2005-01,1.068,
2005-04,1.137,
2005-07,0.868,
2005-10,0.910,
2006-01,0.919,
2006-04,1.007,
2006-07,1.029,
2006-10,0.900,
2007-01,0.866,
2007-04,0.906,
2007-07,0.646,
2007-10,0.569,
2008-01,0.601,
2008-04,0.562,
2008-07,0.517,
2008-10,0.490,
2009-01,0.521,
2009-04,0.397,
2009-07,0.365,
2009-10,0.332,
2010-01,0.315,
2010-04,0.304,
2010-07,0.364,
2010-10,0.256,
2011-01,0.274,
2011-04,0.223,
2011-07,0.244,
2011-10,0.225,
2012-01,0.231,
2012-04,0.221,
2012-07,0.255,
2012-10,0.201,
2013-01,0.211,
2013-04,0.224,
2013-07,0.321,
2013-10,0.353,
2014-01,0.285,
2014-04,0.166,
2014-07,0.167,
