"",BBK01.OEAA16Q,BBK01.OEAA16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:15,
2002-01,1.764,
2002-04,1.740,
2002-07,1.732,
2002-10,1.665,
2003-01,1.847,
2003-04,1.805,
2003-07,1.758,
2003-10,1.735,
2004-01,1.701,
2004-04,1.559,
2004-07,1.530,
2004-10,1.529,
2005-01,1.351,
2005-04,1.281,
2005-07,1.239,
2005-10,1.241,
2006-01,1.225,
2006-04,1.230,
2006-07,1.213,
2006-10,1.262,
2007-01,1.292,
2007-04,1.253,
2007-07,1.198,
2007-10,1.220,
2008-01,1.195,
2008-04,1.166,
2008-07,1.180,
2008-10,1.186,
2009-01,1.160,
2009-04,1.151,
2009-07,1.156,
2009-10,1.174,
2010-01,1.154,
2010-04,1.133,
2010-07,1.125,
2010-10,1.120,
2011-01,1.118,
2011-04,1.104,
2011-07,1.110,
2011-10,1.120,
2012-01,1.098,
2012-04,1.085,
2012-07,1.093,
2012-10,1.103,
2013-01,1.161,
2013-04,1.146,
2013-07,0.710,
2013-10,0.822,
2014-01,0.838,
2014-04,0.810,
2014-07,0.807,
