"",BBK01.OECB06I,BBK01.OECB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:59,
2002-01,2.808,
2002-04,2.621,
2002-07,2.520,
2002-10,2.665,
2003-01,2.283,
2003-04,2.330,
2003-07,2.374,
2003-10,2.341,
2004-01,2.028,
2004-04,1.931,
2004-07,1.976,
2004-10,1.840,
2005-01,1.931,
2005-04,1.880,
2005-07,1.842,
2005-10,1.889,
2006-01,1.833,
2006-04,1.481,
2006-07,1.904,
2006-10,1.455,
2007-01,1.363,
2007-04,1.461,
2007-07,1.370,
2007-10,1.736,
2008-01,1.331,
2008-04,1.504,
2008-07,1.674,
2008-10,1.607,
2009-01,1.397,
2009-04,1.280,
2009-07,1.380,
2009-10,1.166,
2010-01,1.196,
2010-04,1.355,
2010-07,1.400,
2010-10,1.372,
2011-01,1.557,
2011-04,1.345,
2011-07,1.291,
2011-10,1.229,
2012-01,1.279,
2012-04,1.219,
2012-07,1.415,
2012-10,1.343,
2013-01,1.197,
2013-04,1.362,
2013-07,1.531,
2013-10,1.364,
2014-01,1.202,
2014-04,1.508,
2014-07,1.237,
