"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Switzerland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:40,
2009-09,46,
2009-10,39,
2009-11,36,
2009-12,37,
2010-01,123,
2010-02,41,
2010-03,37,
2010-04,36,
2010-05,36,
2010-06,38,
2010-07,19,
2010-08,29,
2010-09,29,
2010-10,29,
2010-11,32,
2010-12,36,
2011-01,31,
2011-02,29,
2011-03,29,
2011-04,28,
2011-05,28,
2011-06,29,
2011-07,31,
2011-08,68,
2011-09,58,
2011-10,730,
2011-11,87,
2011-12,67,
2012-01,76,
2012-02,76,
2012-03,79,
2012-04,81,
2012-05,77,
2012-06,73,
2012-07,81,
2012-08,75,
2012-09,55,
2012-10,57,
2012-11,41,
2012-12,43,
2013-01,40,
2013-02,32,
2013-03,29,
2013-04,29,
2013-05,31,
2013-06,25,
2013-07,26,
2013-08,26,
2013-09,39,
2013-10,58,
2013-11,65,
2013-12,64,
2014-01,65,
2014-02,94,
2014-03,81,
2014-04,102,
2014-05,106,
2014-06,100,
2014-07,100,
2014-08,100,
2014-09,102,
2014-10,112,
2014-11,110,
