"",BBK01.OEAF21P,BBK01.OEAF21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:15,
2002-01,0.689,
2002-04,0.673,
2002-07,0.664,
2002-10,0.640,
2003-01,0.634,
2003-04,0.628,
2003-07,0.628,
2003-10,0.616,
2004-01,0.599,
2004-04,0.600,
2004-07,0.583,
2004-10,0.558,
2005-01,0.546,
2005-04,0.540,
2005-07,0.538,
2005-10,0.526,
2006-01,0.525,
2006-04,0.519,
2006-07,0.529,
2006-10,0.525,
2007-01,0.518,
2007-04,0.510,
2007-07,0.511,
2007-10,0.494,
2008-01,0.482,
2008-04,0.469,
2008-07,0.459,
2008-10,0.445,
2009-01,0.452,
2009-04,0.446,
2009-07,0.442,
2009-10,0.428,
2010-01,0.424,
2010-04,0.431,
2010-07,0.453,
2010-10,0.453,
2011-01,0.456,
2011-04,0.460,
2011-07,0.466,
2011-10,0.459,
2012-01,0.471,
2012-04,0.484,
2012-07,0.488,
2012-10,0.490,
2013-01,0.504,
2013-04,0.506,
2013-07,0.510,
2013-10,0.494,
2014-01,0.490,
2014-04,0.488,
2014-07,0.482,
