"",BBK01.OEXI03I,BBK01.OEXI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:41,
2002-01,6.411,
2002-04,6.085,
2002-07,6.340,
2002-10,6.030,
2003-01,5.943,
2003-04,5.368,
2003-07,4.893,
2003-10,4.930,
2004-01,4.778,
2004-04,4.896,
2004-07,5.499,
2004-10,5.465,
2005-01,6.486,
2005-04,5.744,
2005-07,5.111,
2005-10,4.977,
2006-01,5.727,
2006-04,4.519,
2006-07,4.762,
2006-10,5.701,
2007-01,6.170,
2007-04,6.654,
2007-07,6.972,
2007-10,6.936,
2008-01,7.158,
2008-04,7.440,
2008-07,7.552,
2008-10,6.964,
2009-01,4.993,
2009-04,3.476,
2009-07,2.928,
2009-10,2.602,
2010-01,2.641,
2010-04,3.282,
2010-07,3.672,
2010-10,6.756,
2011-01,8.671,
2011-04,10.022,
2011-07,11.693,
2011-10,12.630,
2012-01,13.948,
2012-04,14.578,
2012-07,15.420,
2012-10,15.351,
2013-01,16.381,
2013-04,16.015,
2013-07,15.922,
2013-10,15.982,
2014-01,15.524,
2014-04,15.554,
2014-07,14.831,
