"",BBSF2.M.1.P.00000.WPF01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.WPF01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
1994-06,543,
1994-07,710,
1994-08,693,
1994-09,269,
1994-10,105,
1994-11,1021,
1994-12,277,
1995-01,-111,
1995-02,480,
1995-03,-17,
1995-04,-247,
1995-05,-78,
1995-06,152,
1995-07,-31,
1995-08,-88,
1995-09,78,
1995-10,267,
1995-11,1016,
1995-12,477,
1996-01,473,
1996-02,-107,
1996-03,304,
1996-04,827,
1996-05,212,
1996-06,120,
1996-07,-98,
1996-08,470,
1996-09,343,
1996-10,19,
1996-11,914,
1996-12,243,
1997-01,2150,
1997-02,2690,
1997-03,1403,
1997-04,1378,
1997-05,1285,
1997-06,1436,
1997-07,1326,
1997-08,-9,
1997-09,1246,
1997-10,220,
1997-11,1033,
1997-12,1215,
1998-01,354,
1998-02,1197,
1998-03,2116,
1998-04,1909,
1998-05,1747,
1998-06,1182,
1998-07,1429,
1998-08,1274,
1998-09,144,
1998-10,-394,
1998-11,2515,
1998-12,748,
1999-01,3162,
1999-02,2894,
1999-03,2108,
1999-04,1768,
1999-05,1844,
1999-06,1216,
1999-07,2207,
1999-08,1678,
1999-09,833,
1999-10,1450,
1999-11,2128,
1999-12,1981,
2000-01,3922,
2000-02,3855,
2000-03,4645,
2000-04,3735,
2000-05,2829,
2000-06,2593,
2000-07,3280,
2000-08,2858,
2000-09,1781,
2000-10,2891,
2000-11,2847,
2000-12,1582,
2001-01,3250,
2001-02,933,
2001-03,-623,
2001-04,1487,
2001-05,385,
2001-06,25,
2001-07,786,
2001-08,60,
2001-09,-2193,
2001-10,1058,
2001-11,2809,
2001-12,1217,
2002-01,1754,
2002-02,1260,
2002-03,1045,
2002-04,-9,
2002-05,1686,
2002-06,-384,
2002-07,20,
2002-08,661,
2002-09,-468,
2002-10,-603,
2002-11,1916,
2002-12,368,
2003-01,-247,
2003-02,670,
2003-03,484,
2003-04,1172,
2003-05,575,
2003-06,1577,
2003-07,308,
2003-08,1535,
2003-09,-454,
2003-10,548,
2003-11,16,
2003-12,1223,
2004-01,-270,
2004-02,-139,
2004-03,2309,
2004-04,-77,
2004-05,-742,
2004-06,-1048,
2004-07,-970,
2004-08,-1223,
2004-09,-67,
2004-10,-507,
2004-11,496,
2004-12,992,
2005-01,-172,
2005-02,-1827,
2005-03,839,
2005-04,147,
2005-05,641,
2005-06,1179,
2005-07,2382,
2005-08,1205,
2005-09,408,
2005-10,448,
2005-11,1564,
2005-12,189,
2006-01,-563,
2006-02,1781,
2006-03,-430,
2006-04,-1399,
2006-05,-234,
2006-06,-2192,
2006-07,-180,
2006-08,-1633,
2006-09,-918,
2006-10,-1923,
2006-11,-1595,
2006-12,-76,
2007-01,-2212,
2007-02,79,
2007-03,-2184,
2007-04,358,
2007-05,-1306,
2007-06,-3454,
2007-07,-1084,
2007-08,-2657,
2007-09,-198,
2007-10,652,
2007-11,313,
2007-12,-1155,
2008-01,-3562,
2008-02,-253,
2008-03,-1100,
2008-04,4702,
2008-05,1014,
2008-06,-6079,
2008-07,-1591,
2008-08,-1007,
2008-09,-1429,
2008-10,-5749,
2008-11,153,
2008-12,3753,
2009-01,4865,
2009-02,-642,
2009-03,-2321,
2009-04,1946,
2009-05,2165,
2009-06,101,
2009-07,2128,
2009-08,-406,
2009-09,593,
2009-10,735,
2009-11,1797,
2009-12,787,
2010-01,-10,
2010-02,1645,
2010-03,846,
2010-04,-274,
2010-05,6183,
2010-06,-4661,
2010-07,1146,
2010-08,371,
2010-09,699,
2010-10,-125,
2010-11,1815,
2010-12,1049,
2011-01,424,
2011-02,165,
2011-03,-1243,
2011-04,-70,
2011-05,1168,
2011-06,-441,
2011-07,3105,
2011-08,-2355,
2011-09,-372,
2011-10,441,
2011-11,-1571,
2011-12,-1288,
2012-01,597,
2012-02,-831,
2012-03,-859,
2012-04,-4322,
2012-05,3403,
2012-06,-338,
2012-07,578,
2012-08,-193,
2012-09,-563,
2012-10,99,
2012-11,1134,
2012-12,1393,
2013-01,739,
2013-02,2435,
2013-03,100,
2013-04,167,
2013-05,-47,
2013-06,474,
2013-07,2856,
2013-08,-524,
2013-09,419,
2013-10,2156,
2013-11,-3139,
2013-12,-40,
2014-01,-15,
2014-02,2426,
2014-03,-558,
2014-04,-254,
2014-05,1081,
2014-06,224,
2014-07,1069,
2014-08,1965,
2014-09,-3578,
2014-10,-71,
2014-11,-826,
2014-12,-33,Provisional value
