"",BBK01.OEAD40I,BBK01.OEAD40I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:15,
2002-01,0.247,
2002-04,0.234,
2002-07,0.239,
2002-10,0.215,
2003-01,0.183,
2003-04,0.216,
2003-07,0.210,
2003-10,0.217,
2004-01,0.207,
2004-04,0.186,
2004-07,0.186,
2004-10,0.176,
2005-01,0.171,
2005-04,0.170,
2005-07,0.181,
2005-10,0.190,
2006-01,0.190,
2006-04,0.204,
2006-07,0.204,
2006-10,0.202,
2007-01,0.200,
2007-04,0.203,
2007-07,0.196,
2007-10,0.206,
2008-01,0.203,
2008-04,0.200,
2008-07,0.195,
2008-10,0.174,
2009-01,0.166,
2009-04,0.182,
2009-07,0.174,
2009-10,0.168,
2010-01,0.103,
2010-04,0.103,
2010-07,0.099,
2010-10,0.092,
2011-01,0.160,
2011-04,0.148,
2011-07,0.147,
2011-10,0.149,
2012-01,0.147,
2012-04,0.147,
2012-07,0.140,
2012-10,0.130,
2013-01,0.130,
2013-04,0.125,
2013-07,0.122,
2013-10,0.146,
2014-01,0.119,
2014-04,0.121,
2014-07,0.119,
