"",BBK01.OEBI04S,BBK01.OEBI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:36,
2002-01,1.194,
2002-04,1.110,
2002-07,1.047,
2002-10,0.931,
2003-01,0.804,
2003-04,0.731,
2003-07,0.719,
2003-10,0.636,
2004-01,0.551,
2004-04,0.504,
2004-07,0.467,
2004-10,0.507,
2005-01,0.545,
2005-04,0.537,
2005-07,0.519,
2005-10,0.577,
2006-01,0.618,
2006-04,0.646,
2006-07,0.729,
2006-10,0.760,
2007-01,0.926,
2007-04,1.002,
2007-07,1.163,
2007-10,1.293,
2008-01,1.387,
2008-04,1.481,
2008-07,1.683,
2008-10,1.571,
2009-01,1.026,
2009-04,0.827,
2009-07,0.647,
2009-10,0.534,
2010-01,0.477,
2010-04,0.443,
2010-07,0.414,
2010-10,0.399,
2011-01,0.467,
2011-04,0.446,
2011-07,0.472,
2011-10,0.984,
2012-01,1.213,
2012-04,1.387,
2012-07,1.442,
2012-10,1.401,
2013-01,1.084,
2013-04,1.417,
2013-07,1.327,
2013-10,1.301,
2014-01,1.252,
2014-04,1.219,
2014-07,1.155,
