"",BBK01.OEAC31P,BBK01.OEAC31P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:54,
2002-01,0.753,
2002-04,0.744,
2002-07,0.757,
2002-10,0.727,
2003-01,0.695,
2003-04,0.723,
2003-07,0.738,
2003-10,0.744,
2004-01,0.724,
2004-04,0.760,
2004-07,0.736,
2004-10,0.781,
2005-01,0.808,
2005-04,0.819,
2005-07,0.753,
2005-10,0.737,
2006-01,0.766,
2006-04,0.763,
2006-07,0.776,
2006-10,0.830,
2007-01,0.807,
2007-04,0.796,
2007-07,0.801,
2007-10,0.865,
2008-01,0.884,
2008-04,0.915,
2008-07,0.956,
2008-10,0.943,
2009-01,0.924,
2009-04,0.949,
2009-07,1.003,
2009-10,1.003,
2010-01,1.002,
2010-04,0.850,
2010-07,0.898,
2010-10,0.921,
2011-01,0.939,
2011-04,1.002,
2011-07,1.116,
2011-10,1.120,
2012-01,1.169,
2012-04,1.302,
2012-07,1.260,
2012-10,1.307,
2013-01,1.310,
2013-04,1.296,
2013-07,1.358,
2013-10,1.389,
2014-01,1.336,
2014-04,1.324,
2014-07,1.348,
