"",BBK01.OELB09G,BBK01.OELB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:15,
2002-01,11.348,
2002-04,11.302,
2002-07,11.022,
2002-10,10.755,
2003-01,10.608,
2003-04,10.462,
2003-07,10.305,
2003-10,10.015,
2004-01,9.904,
2004-04,9.822,
2004-07,9.570,
2004-10,8.811,
2005-01,8.928,
2005-04,8.895,
2005-07,8.849,
2005-10,8.795,
2006-01,8.981,
2006-04,9.231,
2006-07,9.556,
2006-10,9.769,
2007-01,10.163,
2007-04,10.583,
2007-07,10.769,
2007-10,11.109,
2008-01,11.366,
2008-04,11.327,
2008-07,11.670,
2008-10,11.786,
2009-01,11.914,
2009-04,11.980,
2009-07,12.068,
2009-10,12.020,
2010-01,12.130,
2010-04,12.309,
2010-07,12.306,
2010-10,12.467,
2011-01,12.740,
2011-04,12.944,
2011-07,13.048,
2011-10,13.157,
2012-01,13.547,
2012-04,14.062,
2012-07,14.342,
2012-10,14.458,
2013-01,14.775,
2013-04,15.020,
2013-07,15.204,
2013-10,15.394,
2014-01,15.672,
2014-04,16.048,
2014-07,16.342,
