"",BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:14,
1991-01,0.654,
1991-04,-0.422,
1991-07,-0.114,
1991-10,-0.391,
1992-01,0.081,
1992-04,-5.817,
1992-07,-3.002,
1992-10,-5.325,
1993-01,12.456,
1993-04,-4.861,
1993-07,8.620,
1993-10,-6.042,
1994-01,0.222,
1994-04,-7.947,
1994-07,29.782,
1994-10,-5.825,
1995-01,14.669,
1995-04,-4.636,
1995-07,-0.584,
1995-10,73.366,
1996-01,-0.257,
1996-04,-7.751,
1996-07,-2.874,
1996-10,-8.426,
1997-01,-9.425,
1997-04,-1.707,
1997-07,-3.742,
1997-10,-5.535,
1998-01,-0.016,
1998-04,-7.379,
1998-07,-1.181,
1998-10,-5.402,
1999-01,-199.576,
1999-04,-7.478,
1999-07,5.199,
1999-10,58.766,
2000-01,-2.058,
2000-04,-4.482,
2000-07,2.882,
2000-10,-101.946,
2001-01,-1.323,
2001-04,308.351,
2001-07,325.986,
2001-10,-10.945,
2002-01,37.680,
2002-04,49.150,
2002-07,-20.564,
2002-10,26.054,
2003-01,-769.119,
2003-04,-3.379,
2003-07,-20.536,
2003-10,-0.299,
2004-01,-0.172,
2004-04,-2.001,
2004-07,-0.240,
2004-10,-0.300,
2005-01,-0.277,
2005-04,43.231,
2005-07,0.456,
2005-10,89.949,
2006-01,-4.466,
2006-04,3.562,
2006-07,-,Nothing exists
2006-10,413.600,
2007-01,74.893,
2007-04,59.585,
2007-07,39.912,
2007-10,127.999,
2008-01,-87.954,
2008-04,-0.050,
2008-07,0.040,
2008-10,-0.045,
2009-01,-7.029,
2009-04,2.343,
2009-07,12.034,
2009-10,-18.506,
2010-01,-8.000,
2010-04,9.328,
2010-07,17.268,
2010-10,72.746,
2011-01,1.547,
2011-04,-3.360,
2011-07,-423.579,
2011-10,-0.450,
2012-01,-0.024,
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,10.776,
2013-01,26.336,
2013-04,-27.503,
2013-07,67.447,
2013-10,-70.583,
2014-01,-25.557,Provisional value
2014-04,14.000,Provisional value
2014-07,2.000,Provisional value
2014-10,20.000,Provisional value
