"",BBK01.OECL09M,BBK01.OECL09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:14,
2002-01,0.150,
2002-04,0.147,
2002-07,0.143,
2002-10,0.142,
2003-01,0.133,
2003-04,0.129,
2003-07,0.125,
2003-10,0.125,
2004-01,0.119,
2004-04,0.115,
2004-07,0.112,
2004-10,0.115,
2005-01,0.152,
2005-04,0.146,
2005-07,0.138,
2005-10,0.140,
2006-01,0.138,
2006-04,0.142,
2006-07,0.147,
2006-10,0.158,
2007-01,0.182,
2007-04,0.191,
2007-07,0.202,
2007-10,0.219,
2008-01,0.224,
2008-04,0.230,
2008-07,0.262,
2008-10,0.363,
2009-01,0.355,
2009-04,0.355,
2009-07,0.362,
2009-10,0.285,
2010-01,0.230,
2010-04,0.222,
2010-07,0.212,
2010-10,0.240,
2011-01,0.263,
2011-04,0.267,
2011-07,0.266,
2011-10,0.275,
2012-01,0.266,
2012-04,0.260,
2012-07,0.246,
2012-10,0.204,
2013-01,0.170,
2013-04,0.148,
2013-07,0.137,
2013-10,0.126,
2014-01,0.111,
2014-04,0.106,
2014-07,0.144,
