"",BBK01.OEXB20R,BBK01.OEXB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:53,
2002-01,1.403,
2002-04,1.422,
2002-07,1.443,
2002-10,1.480,
2003-01,1.472,
2003-04,1.503,
2003-07,1.519,
2003-10,1.510,
2004-01,1.513,
2004-04,1.528,
2004-07,1.523,
2004-10,1.444,
2005-01,1.445,
2005-04,1.497,
2005-07,1.484,
2005-10,1.435,
2006-01,1.458,
2006-04,1.527,
2006-07,1.593,
2006-10,1.558,
2007-01,1.609,
2007-04,1.662,
2007-07,1.715,
2007-10,1.774,
2008-01,1.709,
2008-04,1.641,
2008-07,1.676,
2008-10,1.687,
2009-01,1.645,
2009-04,1.688,
2009-07,1.726,
2009-10,1.760,
2010-01,1.780,
2010-04,1.791,
2010-07,1.801,
2010-10,1.816,
2011-01,1.829,
2011-04,1.847,
2011-07,1.868,
2011-10,1.916,
2012-01,1.925,
2012-04,1.947,
2012-07,1.975,
2012-10,1.986,
2013-01,1.991,
2013-04,2.005,
2013-07,2.032,
2013-10,2.049,
2014-01,2.074,
2014-04,2.081,
2014-07,2.098,
