"",BBK01.OEYM05V,BBK01.OEYM05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:01,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,0.008,
2002-10,0.034,
2003-01,0.024,
2003-04,0.024,
2003-07,0.024,
2003-10,0.019,
2004-01,0.008,
2004-04,0.008,
2004-07,0.008,
2004-10,0.003,
2005-01,0.003,
2005-04,0.003,
2005-07,0.003,
2005-10,0.003,
2006-01,0.003,
2006-04,0.003,
2006-07,0.003,
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,-,Nothing exists
2011-01,0.114,
2011-04,0.114,
2011-07,0.108,
2011-10,0.101,
2012-01,0.111,
2012-04,0.106,
2012-07,0.100,
2012-10,0.095,
2013-01,0.092,
2013-04,0.096,
2013-07,0.097,
2013-10,0.093,
2014-01,0.090,
2014-04,0.117,
2014-07,0.120,
