"",BBK01.PQD360,BBK01.PQD360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:14,
1968-10,0.256,
1969-01,0.262,
1969-04,0.273,
1969-07,0.279,
1969-10,0.305,
1970-01,0.308,
1970-04,0.316,
1970-07,0.333,
1970-10,0.366,
1971-01,0.366,
1971-04,0.376,
1971-07,0.410,
1971-10,0.454,
1972-01,0.457,
1972-04,0.480,
1972-07,0.541,
1972-10,0.615,
1973-01,0.669,
1973-04,0.721,
1973-07,0.709,
1973-10,0.677,
1974-01,0.646,
1974-04,0.626,
1974-07,0.639,
1974-10,0.620,
1975-01,0.569,
1975-04,0.548,
1975-07,0.555,
1975-10,0.594,
1976-01,0.582,
1976-04,0.620,
1976-07,0.660,
1976-10,0.754,
1977-01,0.725,
1977-04,0.781,
1977-07,0.810,
1977-10,0.884,
1978-01,0.857,
1978-04,0.885,
1978-07,0.931,
1978-10,0.972,
1979-01,0.948,
1979-04,0.977,
1979-07,1.008,
1979-10,1.013,
1980-01,0.967,
1980-04,0.937,
1980-07,0.916,
1980-10,0.995,
1981-01,1.010,
1981-04,0.977,
1981-07,0.968,
1981-10,1.064,
1982-01,1.051,
1982-04,1.120,
1982-07,1.199,
1982-10,1.262,
1983-01,1.291,
1983-04,1.335,
1983-07,1.389,
1983-10,1.508,
1984-01,1.495,
1984-04,1.476,
1984-07,1.519,
1984-10,1.472,
1985-01,1.472,
1985-04,1.444,
1985-07,1.436,
1985-10,1.422,
1986-01,1.414,
1986-04,1.413,
1986-07,1.369,
1986-10,1.796,
1987-01,1.755,
1987-04,1.737,
1987-07,1.982,
1987-10,2.039,
1988-01,2.048,
1988-04,1.999,
1988-07,2.031,
1988-10,2.114,
1989-01,2.097,
1989-04,2.143,
1989-07,2.135,
1989-10,2.172,
1990-01,2.338,
1990-04,2.356,
1990-07,2.493,
1990-10,2.675,
1991-01,2.748,
1991-04,2.905,
1991-07,3.049,
1991-10,3.186,
1992-01,3.234,
1992-04,3.410,
1992-07,3.521,
1992-10,3.709,
1993-01,3.814,
1993-04,3.936,
1993-07,3.969,
1993-10,4.108,
1994-01,3.987,
1994-04,4.039,
1994-07,4.003,
1994-10,4.246,
1995-01,4.164,
1995-04,4.329,
1995-07,4.233,
1995-10,4.206,
1996-01,4.068,
1996-04,4.191,
1996-07,4.312,
1996-10,4.285,
1997-01,4.229,
1997-04,4.201,
1997-07,4.243,
1997-10,4.199,
1998-01,3.805,
1998-04,3.817,
1998-07,3.859,
1998-10,3.507,
1999-01,4.230,
1999-04,4.483,
1999-07,5.444,
1999-10,5.330,
2000-01,5.373,
2000-04,5.472,
2000-07,5.703,
2000-10,5.697,
2001-01,5.497,
2001-04,5.584,
2001-07,5.423,
2001-10,5.366,
2002-01,5.226,
2002-04,6.382,
2002-07,6.420,
2002-10,6.536,
2003-01,7.061,
2003-04,7.218,
2003-07,7.353,
2003-10,7.781,
2004-01,7.687,
2004-04,8.033,
2004-07,8.367,
2004-10,8.222,
2005-01,8.177,
2005-04,9.675,
2005-07,9.126,
2005-10,9.327,
2006-01,9.466,
2006-04,9.658,
2006-07,9.668,
2006-10,9.047,
2007-01,9.248,
2007-04,9.328,
2007-07,9.569,
2007-10,9.679,
2008-01,9.687,
2008-04,9.871,
2008-07,9.855,
2008-10,10.063,
2009-01,10.197,
2009-04,10.200,
2009-07,10.231,
2009-10,10.206,
2010-01,10.091,
2010-04,10.289,
2010-07,10.540,
2010-10,10.795,
2011-01,10.796,
2011-04,10.957,
2011-07,13.509,
2011-10,13.831,
2012-01,13.949,
2012-04,14.198,
2012-07,14.210,
2012-10,14.344,
2013-01,14.104,
2013-04,14.181,
2013-07,14.090,
2013-10,14.212,
2014-01,14.120,
2014-04,13.674,
2014-07,13.834,
2014-10,13.870,
