"",BBK01.OEBL08R,BBK01.OEBL08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:01,
2002-01,0.555,
2002-04,0.488,
2002-07,0.473,
2002-10,0.510,
2003-01,0.533,
2003-04,0.531,
2003-07,0.547,
2003-10,0.544,
2004-01,0.525,
2004-04,0.516,
2004-07,0.537,
2004-10,0.554,
2005-01,1.124,
2005-04,1.122,
2005-07,1.124,
2005-10,1.139,
2006-01,1.136,
2006-04,1.107,
2006-07,1.083,
2006-10,1.072,
2007-01,1.072,
2007-04,1.056,
2007-07,1.045,
2007-10,1.064,
2008-01,1.066,
2008-04,1.079,
2008-07,1.060,
2008-10,1.037,
2009-01,1.060,
2009-04,1.070,
2009-07,1.124,
2009-10,1.186,
2010-01,1.226,
2010-04,1.222,
2010-07,1.231,
2010-10,1.237,
2011-01,1.227,
2011-04,1.205,
2011-07,1.179,
2011-10,1.196,
2012-01,1.262,
2012-04,1.247,
2012-07,1.260,
2012-10,1.306,
2013-01,1.306,
2013-04,1.297,
2013-07,1.302,
2013-10,1.315,
2014-01,1.308,
2014-04,1.292,
2014-07,1.303,
