"",BBK01.OEAH72S,BBK01.OEAH72S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:31,
2002-01,0.515,
2002-04,0.469,
2002-07,0.469,
2002-10,0.592,
2003-01,0.489,
2003-04,0.454,
2003-07,0.476,
2003-10,0.539,
2004-01,0.499,
2004-04,0.566,
2004-07,0.551,
2004-10,0.562,
2005-01,0.502,
2005-04,0.530,
2005-07,0.548,
2005-10,0.584,
2006-01,0.491,
2006-04,0.534,
2006-07,0.480,
2006-10,0.576,
2007-01,0.544,
2007-04,0.569,
2007-07,0.571,
2007-10,0.554,
2008-01,0.512,
2008-04,0.541,
2008-07,0.511,
2008-10,0.702,
2009-01,0.940,
2009-04,1.216,
2009-07,1.109,
2009-10,1.220,
2010-01,1.180,
2010-04,1.274,
2010-07,1.274,
2010-10,1.274,
2011-01,1.143,
2011-04,1.166,
2011-07,1.124,
2011-10,1.149,
2012-01,0.977,
2012-04,0.863,
2012-07,0.957,
2012-10,1.075,
2013-01,1.020,
2013-04,1.141,
2013-07,1.117,
2013-10,1.210,
2014-01,1.070,
2014-04,1.214,
2014-07,1.162,
