"",BBK01.OEBB16R,BBK01.OEBB16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:30,
2002-01,1.267,
2002-04,1.256,
2002-07,1.250,
2002-10,1.239,
2003-01,1.219,
2003-04,1.220,
2003-07,1.204,
2003-10,1.216,
2004-01,1.199,
2004-04,1.195,
2004-07,1.185,
2004-10,1.175,
2005-01,1.204,
2005-04,1.201,
2005-07,1.174,
2005-10,1.178,
2006-01,1.182,
2006-04,1.178,
2006-07,1.184,
2006-10,1.193,
2007-01,1.213,
2007-04,1.197,
2007-07,1.194,
2007-10,1.244,
2008-01,1.229,
2008-04,1.216,
2008-07,1.208,
2008-10,1.206,
2009-01,1.227,
2009-04,1.333,
2009-07,1.329,
2009-10,1.355,
2010-01,1.342,
2010-04,1.356,
2010-07,1.370,
2010-10,1.359,
2011-01,1.363,
2011-04,1.377,
2011-07,1.388,
2011-10,1.410,
2012-01,1.413,
2012-04,1.416,
2012-07,1.415,
2012-10,1.428,
2013-01,1.433,
2013-04,1.447,
2013-07,1.441,
2013-10,1.448,
2014-01,1.473,
2014-04,1.482,
2014-07,1.478,
