"",BBK01.OEAC58L,BBK01.OEAC58L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:56,
2002-01,5.951,
2002-04,5.956,
2002-07,5.974,
2002-10,6.026,
2003-01,6.118,
2003-04,6.037,
2003-07,4.377,
2003-10,3.539,
2004-01,3.499,
2004-04,4.313,
2004-07,4.424,
2004-10,4.374,
2005-01,4.073,
2005-04,3.913,
2005-07,3.937,
2005-10,3.518,
2006-01,3.499,
2006-04,3.514,
2006-07,3.734,
2006-10,3.958,
2007-01,4.019,
2007-04,3.982,
2007-07,4.179,
2007-10,4.295,
2008-01,3.797,
2008-04,4.438,
2008-07,4.390,
2008-10,4.400,
2009-01,4.352,
2009-04,4.415,
2009-07,3.132,
2009-10,3.149,
2010-01,2.682,
2010-04,2.767,
2010-07,3.013,
2010-10,2.986,
2011-01,2.909,
2011-04,2.912,
2011-07,2.943,
2011-10,3.037,
2012-01,3.016,
2012-04,3.283,
2012-07,3.246,
2012-10,3.367,
2013-01,3.373,
2013-04,3.432,
2013-07,3.567,
2013-10,3.464,
2014-01,3.492,
2014-04,3.526,
2014-07,3.494,
