"",BBSF2.M.1.S.A0000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Non-residents / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:42,
1993-04,342,
1993-05,77,
1993-06,-114,
1993-07,1,
1993-08,106,
1993-09,28,
1993-10,27,
1993-11,27,
1993-12,433,
1994-01,3,
1994-02,-,Nothing exists
1994-03,-40,
1994-04,67,
1994-05,0,
1994-06,10,
1994-07,2,
1994-08,1,
1994-09,-34,
1994-10,0,
1994-11,-,Nothing exists
1994-12,2,
1995-01,3,
1995-02,11,
1995-03,4,
1995-04,20,
1995-05,1,
1995-06,2,
1995-07,-93,
1995-08,1,
1995-09,-14,
1995-10,-9,
1995-11,0,
1995-12,-1,
1996-01,12,
1996-02,17,
1996-03,13,
1996-04,70,
1996-05,3,
1996-06,-,Nothing exists
1996-07,17,
1996-08,4,
1996-09,1,
1996-10,-,Nothing exists
1996-11,-102,
1996-12,57,
1997-01,53,
1997-02,15,
1997-03,53,
1997-04,-5,
1997-05,73,
1997-06,-31,
1997-07,48,
1997-08,42,
1997-09,-16,
1997-10,3,
1997-11,49,
1997-12,35,
1998-01,40,
1998-02,65,
1998-03,94,
1998-04,56,
1998-05,3,
1998-06,14,
1998-07,43,
1998-08,20,
1998-09,112,
1998-10,-100,
1998-11,-64,
1998-12,692,
1999-01,148,
1999-02,108,
1999-03,-245,
1999-04,28,
1999-05,12,
1999-06,-470,
1999-07,150,
1999-08,-176,
1999-09,158,
1999-10,-13,
1999-11,58,
1999-12,381,
2000-01,-5,
2000-02,-782,
2000-03,26,
2000-04,50,
2000-05,22,
2000-06,-13,
2000-07,16,
2000-08,-24,
2000-09,-2,
2000-10,102,
2000-11,-20,
2000-12,93,
2001-01,-44,
2001-02,86,
2001-03,-145,
2001-04,-35,
2001-05,-12,
2001-06,55,
2001-07,-115,
2001-08,-68,
2001-09,61,
2001-10,73,
2001-11,60,
2001-12,65,
2002-01,5,
2002-02,79,
2002-03,-63,
2002-04,14,
2002-05,7,
2002-06,24,
2002-07,-29,
2002-08,9,
2002-09,-3,
2002-10,15,
2002-11,4,
2002-12,65,
2003-01,210,
2003-02,9,
2003-03,-8,
2003-04,-69,
2003-05,-6,
2003-06,-23,
2003-07,59,
2003-08,-124,
2003-09,-136,
2003-10,44,
2003-11,10,
2003-12,29,
2004-01,3,
2004-02,72,
2004-03,32,
2004-04,29,
2004-05,18,
2004-06,30,
2004-07,11,
2004-08,-46,
2004-09,15,
2004-10,9,
2004-11,129,
2004-12,-2,
2005-01,20,
2005-02,84,
2005-03,32,
2005-04,26,
2005-05,-25,
2005-06,4,
2005-07,23,
2005-08,110,
2005-09,-69,
2005-10,64,
2005-11,120,
2005-12,8,
2006-01,79,
2006-02,10,
2006-03,82,
2006-04,-93,
2006-05,-7,
2006-06,82,
2006-07,-85,
2006-08,-7,
2006-09,42,
2006-10,-18,
2006-11,-6,
2006-12,155,
2007-01,40,
2007-02,29,
2007-03,247,
2007-04,34,
2007-05,12,
2007-06,-721,
2007-07,18,
2007-08,-15,
2007-09,-101,
2007-10,-4,
2007-11,-10,
2007-12,-21,
2008-01,-151,
2008-02,19,
2008-03,1,
2008-04,115,
2008-05,101,
2008-06,0,
2008-07,-21,
2008-08,25,
2008-09,-9,
2008-10,41,
2008-11,-28,
2008-12,1420,
2009-01,-19,
2009-02,27,
2009-03,20,
2009-04,815,
2009-05,62,
2009-06,-771,
2009-07,283,
2009-08,6,
2009-09,11,
2009-10,7,
2009-11,-59,
2009-12,0,
2010-01,28,
2010-02,-7,
2010-03,-2,
2010-04,-15,
2010-05,5,
2010-06,-26,
2010-07,83,
2010-08,-4,
2010-09,-36,
2010-10,229,
2010-11,1,
2010-12,-64,
2011-01,3,
2011-02,-13,
2011-03,30,
2011-04,26,
2011-05,109,
2011-06,51,
2011-07,-2,
2011-08,-24,
2011-09,4,
2011-10,34,
2011-11,72,
2011-12,60,
2012-01,23,
2012-02,70,
2012-03,-71,
2012-04,975,
2012-05,-725,
2012-06,83,
2012-07,92,
2012-08,53,
2012-09,-83,
2012-10,-10,
2012-11,102,
2012-12,19,
2013-01,126,
2013-02,-216,
2013-03,178,
2013-04,66,
2013-05,0,
2013-06,24,
2013-07,16,
2013-08,27,
2013-09,61,
2013-10,-19,
2013-11,-47,
2013-12,71,
2014-01,4,
2014-02,-71,
2014-03,237,
2014-04,37,
2014-05,0,
2014-06,-45,
2014-07,26,
2014-08,45,
2014-09,37,
2014-10,13,
2014-11,108,
