"",BBFN1.M.DE.N.1.A.MA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Morocco,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:20,
1994-07,0.115,
1994-08,0.126,
1994-09,0.123,
1994-10,0.128,
1994-11,0.126,
1994-12,0.137,
1995-01,0.132,
1995-02,0.139,
1995-03,0.132,
1995-04,0.128,
1995-05,0.125,
1995-06,0.145,
1995-07,0.153,
1995-08,0.146,
1995-09,0.150,
1995-10,0.137,
1995-11,0.146,
1995-12,0.142,
1996-01,0.149,
1996-02,0.155,
1996-03,0.138,
1996-04,0.135,
1996-05,0.131,
1996-06,0.132,
1996-07,0.139,
1996-08,0.141,
1996-09,0.145,
1996-10,0.147,
1996-11,0.149,
1996-12,0.160,
1997-01,0.150,
1997-02,0.151,
1997-03,0.151,
1997-04,0.146,
1997-05,0.145,
1997-06,0.151,
1997-07,0.159,
1997-08,0.148,
1997-09,0.150,
1997-10,0.161,
1997-11,0.162,
1997-12,0.166,
1998-01,0.151,
1998-02,0.160,
1998-03,0.157,
1998-04,0.164,
1998-05,0.169,
1998-06,0.169,
1998-07,0.163,
1998-08,0.155,
1998-09,0.150,
1998-10,0.144,
1998-11,0.138,
1998-12,0.137,
1999-01,0.139,
1999-02,0.138,
1999-03,0.136,
1999-04,0.139,
1999-05,0.138,
1999-06,0.145,
1999-07,0.145,
1999-08,0.143,
1999-09,0.144,
1999-10,0.139,
1999-11,0.144,
1999-12,0.132,
2000-01,0.146,
2000-02,0.141,
2000-03,0.142,
2000-04,0.138,
2000-05,0.137,
2000-06,0.176,
2000-07,0.188,
2000-08,0.169,
2000-09,0.192,
2000-10,0.190,
2000-11,0.182,
2000-12,0.182,
2001-01,0.171,
2001-02,0.176,
2001-03,0.180,
2001-04,0.178,
2001-05,0.189,
2001-06,0.193,
2001-07,0.182,
2001-08,0.191,
2001-09,0.209,
2001-10,0.195,
2001-11,0.208,
2001-12,0.209,
2002-01,0.190,
2002-02,0.191,
2002-03,0.207,
2002-04,0.215,
2002-05,0.209,
2002-06,0.211,
2002-07,0.213,
2002-08,0.205,
2002-09,0.177,
2002-10,0.175,
2002-11,0.190,
2002-12,0.171,
2003-01,0.179,
2003-02,0.169,
2003-03,0.171,
2003-04,0.174,
2003-05,0.185,
2003-06,0.178,
2003-07,0.168,
2003-08,0.163,
2003-09,0.153,
2003-10,0.155,
2003-11,0.160,
2003-12,0.166,
2004-01,0.163,
2004-02,0.175,
2004-03,0.160,
2004-04,0.171,
2004-05,0.188,
2004-06,0.199,
2004-07,0.202,
2004-08,0.194,
2004-09,0.201,
2004-10,0.200,
2004-11,0.182,
2004-12,0.178,
2005-01,0.174,
2005-02,0.185,
2005-03,0.202,
2005-04,0.210,
2005-05,0.207,
2005-06,0.224,
2005-07,0.222,
2005-08,0.205,
2005-09,0.208,
2005-10,0.206,
2005-11,0.204,
2005-12,0.185,
2006-01,0.196,
2006-02,0.204,
2006-03,0.218,
2006-04,0.230,
2006-05,0.208,
2006-06,0.235,
2006-07,0.237,
2006-08,0.243,
2006-09,0.235,
2006-10,0.238,
2006-11,0.273,
2006-12,0.273,
2007-01,0.249,
2007-02,0.257,
2007-03,0.260,
2007-04,0.279,
2007-05,0.303,
2007-06,0.274,
2007-07,0.289,
2007-08,0.285,
2007-09,0.296,
2007-10,0.291,
2007-11,0.295,
2007-12,0.276,
2008-01,0.291,
2008-02,0.299,
2008-03,0.305,
2008-04,0.347,
2008-05,0.318,
2008-06,0.340,
2008-07,0.352,
2008-08,0.501,
2008-09,0.353,
2008-10,0.370,
2008-11,0.327,
2008-12,0.296,
2009-01,0.244,
2009-02,0.280,
2009-03,0.256,
2009-04,0.260,
2009-05,0.252,
2009-06,0.256,
2009-07,0.265,
2009-08,0.271,
2009-09,0.250,
2009-10,0.261,
2009-11,0.266,
2009-12,0.275,
2010-01,0.244,
2010-02,0.253,
2010-03,0.264,
2010-04,0.277,
2010-05,0.314,
2010-06,0.283,
2010-07,0.271,
2010-08,0.290,
2010-09,0.264,
2010-10,0.283,
2010-11,0.310,
2010-12,0.279,
2011-01,0.270,
2011-02,0.305,
2011-03,0.320,
2011-04,0.319,
2011-05,0.342,
2011-06,0.331,
2011-07,0.315,
2011-08,0.316,
2011-09,0.359,
2011-10,0.344,
2011-11,0.379,
2011-12,0.295,
2012-01,0.262,
2012-02,0.287,
2012-03,0.331,
2012-04,0.326,
2012-05,0.328,
2012-06,0.320,
2012-07,0.322,
2012-08,0.333,
2012-09,0.333,
2012-10,0.376,
2012-11,0.353,
2012-12,0.306,
2013-01,0.283,
2013-02,0.303,
2013-03,0.329,
2013-04,0.351,
2013-05,0.338,
2013-06,0.314,
2013-07,0.325,
2013-08,0.360,
2013-09,0.323,
2013-10,0.310,
2013-11,0.330,
2013-12,0.316,
2014-01,0.301,
2014-02,0.310,
2014-03,0.377,
2014-04,0.381,
2014-05,0.362,
2014-06,0.384,
2014-07,0.361,
2014-08,0.364,
2014-09,0.354,
2014-10,0.370,
2014-11,0.374,
2014-12,0.348,
